300261 雅本化学 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/06/2011	8.19	8.55	7.68	7.84	14650102	409046688.000
09/07/2011	8.00	8.65	7.89	8.65	10661773	306013088.000
09/08/2011	8.85	9.54	8.82	9.32	11465038	357872320.000
09/09/2011	9.11	9.34	8.67	8.79	7134179	220096576.000
09/13/2011	8.50	9.22	8.34	9.06	6577305	198328400.000
09/14/2011	9.05	9.46	8.79	9.41	6456971	202543328.000
09/15/2011	9.33	9.66	9.11	9.14	6049890	193099056.000
09/16/2011	8.97	9.06	8.43	8.53	5480321	163396848.000
09/19/2011	8.34	8.42	7.95	8.00	3461154	97084296.000
09/20/2011	7.86	8.16	7.65	8.16	3817532	103734760.000
09/21/2011	8.04	9.00	8.04	8.65	5142763	148800704.000
09/22/2011	8.47	8.60	7.83	7.83	3784435	106899272.000
09/23/2011	7.53	7.97	7.44	7.77	2533098	66723460.000
09/26/2011	7.60	7.90	7.47	7.53	1954688	51302056.000
09/27/2011	7.64	7.71	7.51	7.64	1750172	45678120.000
09/28/2011	7.68	7.72	6.86	6.94	3210051	79933000.000
09/29/2011	6.84	6.98	6.54	6.61	1945040	45015584.000
09/30/2011	6.61	6.68	6.39	6.49	1298812	29119964.000
10/10/2011	6.54	6.68	6.36	6.51	1329782	30029810.000
10/11/2011	6.69	7.06	6.57	6.74	2677693	62503740.000
10/12/2011	6.51	7.10	6.46	7.03	2640255	62514564.000
10/13/2011	7.03	7.44	6.99	7.14	2487556	61338580.000
10/14/2011	7.09	7.24	7.01	7.23	1566926	38220704.000
10/17/2011	7.26	7.60	7.14	7.44	2384795	60934580.000
10/18/2011	7.39	7.47	6.84	6.88	2121814	52276652.000
10/19/2011	6.94	7.12	6.78	6.86	1492048	35651072.000
10/20/2011	6.80	6.98	6.77	6.93	1587287	37521668.000
10/21/2011	6.80	7.05	6.42	6.50	1288542	29460644.000
10/24/2011	6.54	6.63	6.11	6.62	1793385	39061168.000
10/25/2011	6.48	7.07	6.48	6.93	2455417	57652240.000
10/26/2011	6.82	7.14	6.78	6.97	2377813	57034592.000
10/27/2011	6.91	7.23	6.88	7.11	2393421	58427788.000
