300262 巴安水务 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/16/2011	6.96	7.93	6.96	7.43	12219427	358661984.000
09/19/2011	6.88	7.87	6.78	7.61	8693290	254774016.000
09/20/2011	7.33	7.51	6.84	6.96	6560855	188684240.000
09/21/2011	6.72	7.20	6.63	7.18	5272630	147783424.000
09/22/2011	7.03	7.13	6.46	6.46	5190649	140980720.000
09/23/2011	6.21	6.33	6.09	6.23	3433121	85850376.000
09/26/2011	6.18	6.49	6.14	6.25	3010648	77125432.000
09/27/2011	6.28	6.36	5.91	6.04	3059510	74842376.000
09/28/2011	6.08	6.13	5.73	5.84	2255683	54168280.000
09/29/2011	5.77	5.91	5.62	5.70	1985210	45926568.000
09/30/2011	5.71	5.77	5.60	5.71	1291477	29637432.000
10/10/2011	5.78	5.81	5.66	5.70	1055965	24381308.000
10/11/2011	5.89	6.13	5.75	5.89	2839487	68076096.000
10/12/2011	5.81	6.21	5.59	6.18	2938963	70954888.000
10/13/2011	6.09	6.45	6.06	6.28	2838020	72155960.000
10/14/2011	6.25	6.36	6.11	6.33	1991479	49868588.000
10/17/2011	6.33	6.62	6.28	6.52	3002987	78379392.000
10/18/2011	6.45	6.50	6.11	6.22	2138805	54391544.000
10/19/2011	6.22	6.32	6.12	6.17	1230819	30711730.000
10/20/2011	6.13	6.17	5.66	5.81	1544492	36494780.000
10/21/2011	5.95	6.21	5.89	5.91	2312625	56078188.000
10/25/2011	5.93	6.51	5.93	6.51	3070441	77392744.000
10/26/2011	6.62	7.13	6.61	6.72	5711855	155143952.000
10/27/2011	6.73	7.37	6.68	7.16	5568046	156758912.000
10/28/2011	7.08	7.88	6.91	7.88	6414097	190668880.000
10/31/2011	7.88	8.25	7.71	8.21	5881999	187789072.000
11/01/2011	7.96	8.21	7.81	7.97	4186270	133813400.000
11/02/2011	7.71	8.71	7.71	8.32	4729526	153229808.000
11/03/2011	8.16	8.27	7.84	7.88	4917510	158294256.000
11/04/2011	7.90	8.08	7.79	7.93	2979626	94971592.000
11/07/2011	7.91	8.20	7.87	8.06	3127780	101334384.000
11/08/2011	8.03	8.04	7.68	7.80	2817726	88721648.000
11/09/2011	7.78	8.33	7.71	8.21	3706421	118988992.000
11/10/2011	8.08	8.45	7.63	7.63	4982075	162311136.000
11/11/2011	7.43	7.63	7.33	7.43	2728476	81777752.000
11/14/2011	7.53	8.10	7.53	7.85	3821121	120329624.000
11/15/2011	7.76	8.08	7.76	8.00	2954421	94328592.000
11/16/2011	7.92	8.01	7.58	7.66	2442984	76006680.000
11/17/2011	7.71	8.21	7.65	8.03	4707327	150608480.000
11/21/2011	7.83	7.83	7.22	7.31	3065256	90822936.000
11/22/2011	7.13	7.34	6.91	7.31	2333537	66906220.000
11/23/2011	7.27	7.30	7.07	7.10	1516725	43823636.000
11/24/2011	6.87	7.31	6.87	7.22	1733435	49884384.000
11/25/2011	7.17	7.32	7.00	7.03	1288831	36971116.000
11/28/2011	7.10	7.37	7.09	7.28	2089246	60924652.000
11/29/2011	7.40	7.44	7.07	7.18	1605363	46408476.000
11/30/2011	7.11	7.25	6.49	6.56	2241368	61168004.000
12/01/2011	6.78	6.98	6.66	6.86	2146487	59134732.000
12/02/2011	6.86	6.93	6.56	6.58	1739660	47230536.000
12/05/2011	6.48	6.57	6.16	6.25	1266127	32180410.000
12/06/2011	6.26	6.66	6.19	6.53	1786591	46257288.000
12/07/2011	6.43	6.81	6.43	6.66	1793656	48008916.000
12/08/2011	6.63	6.95	6.38	6.72	1985036	53641624.000
12/09/2011	6.64	7.20	6.61	7.14	3395466	95351624.000
12/12/2011	7.16	7.26	6.93	6.98	2370180	67579288.000
12/13/2011	6.99	7.15	6.81	7.04	2720293	76839736.000
12/14/2011	6.88	7.03	6.48	6.53	2234794	61024680.000
12/15/2011	6.33	6.56	6.18	6.20	1872657	47788064.000
12/16/2011	6.19	6.58	5.81	6.55	5081212	126580584.000
12/19/2011	6.43	7.08	6.34	7.00	5021595	133938072.000
12/20/2011	6.91	7.04	6.74	6.78	2786427	77115880.000
12/21/2011	6.92	6.98	6.51	6.52	2679263	73188352.000
12/22/2011	6.37	6.89	6.08	6.67	3374447	88706104.000
12/23/2011	6.61	6.88	6.43	6.60	2516711	67423880.000
12/26/2011	6.46	6.59	6.23	6.27	1772994	45867296.000
12/27/2011	6.24	6.35	5.83	5.87	2310161	56691520.000
12/28/2011	5.71	5.83	5.61	5.79	1503168	34686852.000
12/29/2011	5.77	5.88	5.68	5.69	1177990	27541660.000
12/30/2011	5.76	5.89	5.70	5.80	1360702	31839988.000
01/04/2012	5.85	5.93	5.50	5.50	1432771	33210296.000
01/05/2012	5.35	5.42	4.95	4.96	2456535	50471412.000
01/06/2012	4.91	4.99	4.72	4.96	1768537	34560188.000
01/09/2012	4.93	5.18	4.81	5.16	1745224	35498680.000
01/10/2012	5.15	5.42	5.08	5.34	2115715	45219972.000
01/11/2012	5.31	5.68	5.30	5.43	2092566	46077532.000
01/12/2012	5.33	5.71	5.28	5.57	2522092	55890768.000
01/13/2012	5.49	5.53	5.09	5.09	2033424	43264092.000
01/16/2012	4.89	5.01	4.66	4.66	1103190	21650982.000
01/17/2012	4.66	5.02	4.60	4.97	1277722	24962992.000
01/18/2012	5.03	5.05	4.47	4.48	1769726	33940428.000
01/19/2012	4.41	4.70	4.38	4.56	1161331	21426950.000
01/20/2012	4.61	4.88	4.61	4.75	1233955	23784444.000
01/30/2012	4.73	4.91	4.65	4.77	1095415	21181886.000
01/31/2012	4.58	4.62	4.41	4.62	2020273	36653564.000
02/01/2012	4.54	4.76	4.52	4.66	1818508	34372344.000
02/02/2012	4.61	4.76	4.52	4.75	1876902	35299276.000
02/03/2012	4.71	4.88	4.70	4.83	1800831	34787692.000
02/06/2012	4.88	4.88	4.71	4.82	1717290	33211146.000
02/07/2012	4.79	4.86	4.72	4.77	1812354	35072148.000
02/08/2012	4.74	4.90	4.63	4.90	2127337	41251152.000
02/09/2012	4.93	5.12	4.93	4.98	2877904	58361088.000
02/10/2012	5.00	5.03	4.92	4.99	1600253	32096770.000
02/13/2012	4.93	5.16	4.90	5.08	2169906	44300088.000
02/14/2012	5.12	5.12	4.97	5.02	1290558	26173400.000
02/15/2012	5.02	5.18	4.96	5.15	2172864	44598868.000
02/16/2012	5.09	5.35	5.08	5.33	3730247	78863712.000
02/17/2012	5.31	5.33	5.16	5.21	2346926	49481416.000
02/20/2012	5.26	5.30	5.11	5.13	2011639	42171312.000
02/21/2012	5.15	5.20	4.99	5.19	1629367	33652524.000
02/22/2012	5.18	5.45	5.16	5.39	3115293	66698488.000
02/23/2012	5.39	5.41	5.29	5.35	2502476	53978140.000
02/24/2012	5.36	5.60	5.34	5.42	2998547	65989116.000
02/27/2012	5.39	5.50	5.38	5.41	2338873	51261884.000
02/28/2012	5.43	5.69	5.38	5.63	4077323	90932304.000
02/29/2012	5.55	5.57	5.36	5.38	2226737	49054920.000
03/01/2012	5.37	5.45	5.31	5.35	1418889	30672540.000
03/02/2012	5.35	5.48	5.35	5.48	1526037	33309556.000
03/05/2012	5.48	5.54	5.39	5.41	1800858	39657724.000
03/06/2012	5.40	5.40	5.21	5.22	1478771	31442888.000
03/07/2012	5.12	5.23	5.10	5.10	1471007	30552184.000
03/08/2012	5.16	5.24	5.13	5.19	1182107	24719124.000
03/09/2012	5.19	5.31	5.17	5.30	1594549	33802012.000
03/12/2012	5.34	5.40	5.30	5.39	1557490	33534696.000
03/13/2012	5.42	5.43	5.35	5.42	1391430	30237146.000
