300263 隆华节能 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/16/2011	7.87	8.08	7.58	7.94	9172730	294038688.000
09/19/2011	7.67	7.67	7.15	7.17	3564715	107307864.000
09/20/2011	7.05	7.17	6.93	7.00	2467468	71503696.000
09/21/2011	6.96	7.47	6.96	7.35	3238204	96836816.000
09/22/2011	7.25	7.27	6.79	6.80	3101848	89602640.000
09/23/2011	6.67	6.86	6.57	6.83	1525855	42327276.000
09/26/2011	6.80	7.01	6.77	6.80	1192112	33848476.000
09/27/2011	6.85	6.91	6.63	6.73	1007219	27982332.000
09/28/2011	6.80	6.84	6.61	6.62	790564	21889738.000
09/29/2011	6.54	6.55	6.36	6.38	997814	26526542.000
09/30/2011	6.40	6.48	6.28	6.32	600636	15726289.000
10/10/2011	6.41	6.60	6.35	6.48	1019133	27351454.000
10/11/2011	6.65	6.92	6.53	6.67	1453936	40262808.000
10/12/2011	6.59	7.20	6.56	7.18	2182262	62773504.000
10/13/2011	7.07	7.23	6.96	7.17	1590799	46685712.000
10/14/2011	7.18	7.37	7.12	7.31	1697729	50643780.000
10/17/2011	7.27	7.52	7.27	7.31	1853056	56286188.000
10/18/2011	7.20	7.28	6.85	6.89	1585296	46186492.000
10/19/2011	6.91	7.07	6.84	6.98	910131	26127654.000
10/20/2011	6.93	6.99	6.55	6.67	1179867	32506290.000
10/21/2011	6.61	6.74	6.50	6.58	602091	16358046.000
10/24/2011	6.61	6.97	6.40	6.92	1155868	31986290.000
10/25/2011	6.98	7.51	6.90	7.37	2624289	78037240.000
10/26/2011	7.30	7.74	7.29	7.39	2595176	80096064.000
10/27/2011	7.37	7.73	7.33	7.52	2036379	62963940.000
10/28/2011	7.61	7.91	7.37	7.87	2400631	75822920.000
10/31/2011	7.77	7.87	7.68	7.81	1235396	39410092.000
11/01/2011	7.71	7.86	7.50	7.54	1800681	56711304.000
11/02/2011	7.40	8.07	7.40	8.00	1972606	62633436.000
11/03/2011	8.00	8.09	7.70	7.73	2057935	66877960.000
11/04/2011	7.77	7.88	7.59	7.65	1201339	38093664.000
11/07/2011	7.62	7.68	7.47	7.56	1190701	36954556.000
11/08/2011	7.55	7.68	7.37	7.42	1109615	34244128.000
11/09/2011	7.50	7.71	7.42	7.69	1231621	38220004.000
11/10/2011	7.55	7.76	7.51	7.52	1347953	42322640.000
11/11/2011	7.50	7.54	7.26	7.29	1255510	38092016.000
11/14/2011	7.40	7.93	7.35	7.82	1516527	47948300.000
11/15/2011	7.77	7.90	7.67	7.90	1192470	38085760.000
11/16/2011	7.95	7.98	7.61	7.70	1241011	39749920.000
11/17/2011	7.75	8.49	7.72	8.24	3799926	128101696.000
11/18/2011	8.13	8.40	8.08	8.27	2771673	93783864.000
11/21/2011	8.17	8.26	7.97	8.26	1399417	46396252.000
11/22/2011	8.17	8.26	7.88	8.08	1296628	42909048.000
11/23/2011	8.02	8.35	7.97	8.16	1605414	53995448.000
11/24/2011	8.05	8.53	7.89	8.51	2301279	77496296.000
11/25/2011	8.40	8.50	8.14	8.23	1804565	61496516.000
11/28/2011	8.25	8.28	7.92	8.02	1116264	37043160.000
11/29/2011	8.07	8.13	7.73	7.95	1568087	50818392.000
11/30/2011	7.91	8.05	7.20	7.32	1750962	54671792.000
12/01/2011	7.61	7.71	7.32	7.36	1481186	45954744.000
12/02/2011	7.25	7.36	7.05	7.19	831662	24567788.000
12/05/2011	7.12	7.19	6.88	6.90	571337	16559313.000
12/06/2011	6.94	7.20	6.90	7.12	696599	20263740.000
12/07/2011	7.12	7.19	7.02	7.11	586865	17171390.000
12/08/2011	7.10	7.41	6.95	7.21	969901	28713554.000
12/09/2011	7.10	7.26	7.05	7.21	534582	15753355.000
12/12/2011	7.20	7.21	7.03	7.03	475670	13925578.000
12/13/2011	7.02	7.02	6.70	6.76	609091	17074002.000
12/14/2011	6.76	6.90	6.65	6.68	376174	10478883.000
12/15/2011	6.60	6.84	6.58	6.62	478434	13222370.000
12/16/2011	6.62	6.89	6.45	6.87	1274208	35000836.000
12/19/2011	6.72	6.99	6.57	6.95	976122	27235104.000
12/20/2011	6.88	7.03	6.60	6.60	1349957	37692508.000
12/21/2011	6.66	6.71	6.30	6.32	1159714	31245912.000
12/22/2011	6.24	6.28	5.93	6.12	1528227	38416888.000
12/23/2011	6.10	6.27	6.00	6.12	774080	19678434.000
12/26/2011	6.39	6.43	6.13	6.17	1829568	47774320.000
12/27/2011	6.07	6.13	5.70	5.72	1584953	38698884.000
12/28/2011	5.67	5.67	5.47	5.62	1611350	37012036.000
12/29/2011	5.53	5.72	5.52	5.61	970873	22733098.000
12/30/2011	5.67	5.83	5.63	5.78	1333061	31667198.000
01/04/2012	5.89	6.28	5.80	5.81	2905662	72300312.000
01/05/2012	5.71	6.25	5.68	6.04	3217921	80081576.000
01/06/2012	5.93	6.20	5.76	6.17	2486740	61284172.000
01/09/2012	6.10	6.46	6.06	6.37	2342655	60890144.000
01/10/2012	6.30	6.58	6.30	6.46	2548931	67990248.000
01/11/2012	6.43	6.61	6.40	6.50	1455579	39080644.000
01/12/2012	6.44	6.53	6.26	6.37	1278161	33774936.000
01/13/2012	6.37	6.42	5.90	6.00	1836307	46289400.000
01/16/2012	5.91	6.30	5.82	6.00	1237318	31208016.000
01/17/2012	6.04	6.62	5.84	6.56	1731137	44916792.000
01/18/2012	6.53	6.64	5.88	5.90	1642567	42646656.000
01/19/2012	5.80	6.37	5.70	6.30	1664010	41667008.000
01/20/2012	6.24	6.37	6.21	6.37	918768	23975290.000
01/30/2012	6.38	6.82	6.33	6.57	1467258	39976396.000
01/31/2012	6.55	6.66	6.33	6.50	1058717	28177628.000
02/01/2012	6.51	6.79	6.45	6.64	1326968	36578940.000
02/02/2012	6.60	6.72	6.47	6.71	979498	26724620.000
02/03/2012	6.70	6.83	6.62	6.76	1170874	32512210.000
02/06/2012	6.80	6.84	6.69	6.76	1095490	30493380.000
02/07/2012	6.70	6.70	6.51	6.57	1041491	28324456.000
02/08/2012	6.56	6.77	6.55	6.75	990974	27269562.000
02/09/2012	6.71	6.92	6.71	6.75	1086272	30488722.000
02/10/2012	6.75	7.02	6.71	7.02	1757447	49719752.000
02/13/2012	6.99	7.23	6.93	7.12	1795767	52395584.000
02/14/2012	7.07	7.14	6.94	7.14	1057528	30647278.000
02/15/2012	7.12	7.17	7.00	7.15	1137582	33133066.000
02/16/2012	7.10	7.13	6.95	7.04	900179	26054868.000
02/17/2012	7.02	7.40	6.90	7.27	1727842	50903152.000
02/20/2012	7.40	7.42	7.22	7.23	1222416	36768064.000
02/21/2012	7.29	7.54	7.20	7.52	1880261	57016640.000
02/22/2012	7.49	7.66	7.43	7.63	1667025	51663852.000
02/23/2012	7.66	7.95	7.55	7.89	1672961	53208860.000
02/24/2012	7.86	8.03	7.77	7.97	1629307	52783696.000
02/27/2012	8.01	8.53	7.95	8.50	2930173	99481720.000
02/28/2012	8.17	8.17	7.63	7.63	5051185	160287632.000
02/29/2012	7.39	7.46	7.18	7.20	3030233	91002552.000
03/01/2012	7.21	7.33	7.18	7.22	1632818	48814580.000
03/02/2012	7.22	7.35	7.22	7.30	1488829	44615108.000
03/05/2012	7.34	7.52	7.30	7.38	1915723	58308368.000
03/06/2012	7.37	7.37	7.10	7.15	1457852	43061040.000
03/07/2012	7.09	7.34	7.05	7.17	1438581	42771304.000
03/08/2012	7.20	7.32	7.19	7.25	1078253	32192148.000
03/09/2012	7.30	7.39	7.26	7.38	1591387	47905224.000
03/12/2012	7.45	7.62	7.45	7.53	1907863	59134072.000
03/13/2012	7.50	7.62	7.43	7.57	1454806	44964372.000
03/14/2012	7.61	7.75	7.02	7.07	2453073	75471608.000
03/15/2012	7.12	7.25	6.89	7.00	1081801	31313686.000
03/16/2012	7.00	7.25	7.00	7.24	1114291	32727532.000
03/20/2012	7.35	7.39	7.02	7.02	1227609	36204848.000
03/21/2012	7.06	7.17	6.84	6.96	766916	21983540.000
03/22/2012	6.93	7.17	6.91	7.11	739953	21617086.000
03/23/2012	7.04	7.05	6.92	7.00	527046	15165995.000
03/26/2012	6.99	7.05	6.91	7.05	378222	10858116.000
03/27/2012	7.13	7.14	7.00	7.07	723555	21057616.000
03/28/2012	7.06	7.06	6.49	6.58	1036288	28575952.000
03/29/2012	6.38	6.54	6.35	6.37	458222	12122022.000
03/30/2012	6.39	6.46	6.05	6.26	621258	16038810.000
04/05/2012	6.26	6.42	6.20	6.42	403958	10575175.000
04/06/2012	6.45	6.45	6.32	6.38	396724	10471096.000
04/09/2012	6.37	6.37	6.17	6.22	312689	8085608.000
04/10/2012	6.22	6.28	5.96	6.17	593267	14925427.000
04/11/2012	6.06	6.17	6.05	6.16	348151	8794513.000
04/12/2012	6.16	6.35	6.12	6.34	585563	15153090.000
04/13/2012	6.36	6.54	6.34	6.54	684055	18207220.000
04/16/2012	6.53	6.57	6.42	6.48	548776	14720869.000
04/17/2012	6.52	6.52	6.34	6.35	529546	14010337.000
04/18/2012	6.34	6.51	6.34	6.50	405390	10776094.000
04/19/2012	6.52	6.53	6.43	6.53	564489	15124972.000
04/20/2012	6.52	6.75	6.47	6.62	571251	15541619.000
04/23/2012	6.57	6.57	6.17	6.20	1046453	27189338.000
04/24/2012	6.20	6.25	5.76	6.02	549362	13673708.000
04/25/2012	6.00	6.15	6.00	6.07	243016	6097748.000
04/26/2012	6.17	6.17	6.07	6.11	424987	10744380.000
04/27/2012	6.11	6.16	5.96	6.12	659203	8133760.500
05/02/2012	6.12	6.31	6.12	6.14	1068764	13573274.000
05/03/2012	6.20	6.20	5.94	6.09	958126	11821881.000
05/04/2012	6.09	6.27	6.07	6.25	1111788	14091090.000
05/07/2012	6.26	6.42	6.18	6.39	1077858	13931478.000
05/08/2012	6.40	6.54	6.34	6.38	1401036	18420842.000
05/09/2012	6.35	6.49	6.22	6.32	1104186	14332930.000
05/10/2012	6.36	6.45	6.27	6.38	797392	10338287.000
05/11/2012	6.37	6.47	6.18	6.20	901057	11591093.000
05/14/2012	6.26	6.26	6.02	6.07	983334	12244930.000
05/15/2012	6.09	6.11	5.93	6.01	650771	7983709.000
05/16/2012	5.98	6.04	5.90	5.94	361651	4408929.000
05/17/2012	6.01	6.03	5.92	6.01	550950	6741923.500
05/18/2012	5.93	6.03	5.87	5.89	621466	7553750.000
05/21/2012	5.89	5.94	5.83	5.92	393177	4727634.500
05/22/2012	6.00	6.00	5.92	5.96	666228	8115270.000
05/23/2012	5.99	5.99	5.48	5.64	1678060	19513988.000
05/24/2012	5.54	5.65	5.47	5.50	1216433	13769489.000
05/25/2012	5.51	5.57	5.30	5.31	1333097	14733501.000
05/28/2012	5.27	5.40	5.20	5.38	721435	7830984.500
05/29/2012	5.38	5.49	5.37	5.45	646743	7185935.500
05/30/2012	5.45	5.64	5.40	5.56	850884	9650541.000
05/31/2012	5.49	5.70	5.48	5.58	890203	10179460.000
06/01/2012	5.60	6.15	5.60	5.85	2532865	30599604.000
06/04/2012	5.67	5.74	5.52	5.56	1161997	13417730.000
06/05/2012	5.59	5.62	5.36	5.37	868588	9676488.000
06/06/2012	5.44	5.44	5.34	5.39	364666	4029232.000
06/07/2012	5.51	5.52	5.28	5.39	375479	4152445.500
06/08/2012	5.41	5.45	5.36	5.43	516778	5720268.000
06/11/2012	5.41	5.97	5.37	5.87	2403892	28367102.000
06/12/2012	5.73	5.81	5.64	5.65	1205210	14084970.000
06/13/2012	5.71	6.20	5.67	6.02	2759037	33681352.000
06/14/2012	5.97	6.26	5.94	6.01	2815545	35179496.000
06/15/2012	6.05	6.20	5.90	6.07	1411829	17364792.000
06/18/2012	6.12	6.17	5.87	6.14	1533389	19064504.000
06/19/2012	6.10	6.10	5.93	6.05	1004113	12329032.000
06/20/2012	6.03	6.20	5.93	6.03	1072209	13293168.000
06/21/2012	6.02	6.13	5.89	6.13	1407016	17283554.000
06/25/2012	6.11	6.27	5.97	5.97	1592041	20028212.000
06/26/2012	5.75	5.86	5.48	5.65	1212405	13986165.000
06/27/2012	5.70	5.76	5.53	5.59	714839	8263238.000
06/28/2012	5.64	5.73	5.52	5.56	479110	5523505.500
06/29/2012	5.54	6.13	5.46	6.13	3225773	39702468.000
07/02/2012	6.38	6.41	6.13	6.19	4208060	53973972.000
07/03/2012	6.06	6.52	6.04	6.41	4520181	58611432.000
07/04/2012	6.37	6.49	6.10	6.16	3276774	41942832.000
07/05/2012	6.16	6.19	5.79	5.87	2629870	31900900.000
