300264 佳创视讯 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/16/2011	7.85	8.74	7.84	8.19	17455118	327793248.000
09/19/2011	7.67	7.67	7.36	7.36	9191040	156238896.000
09/20/2011	7.52	7.81	7.45	7.58	8165238	141744768.000
09/21/2011	7.75	8.35	7.71	8.35	10797066	199987264.000
09/22/2011	8.21	8.37	7.98	8.16	8648792	161011072.000
09/23/2011	7.96	8.17	7.74	8.10	5590901	102043496.000
09/26/2011	8.08	8.55	7.99	8.36	7700854	145617376.000
09/27/2011	8.25	8.33	7.51	7.85	7554898	136071392.000
09/28/2011	8.00	8.06	7.48	7.49	5055571	89512456.000
09/29/2011	7.53	7.84	7.47	7.62	4324247	75366104.000
09/30/2011	7.52	7.64	6.91	7.33	3721495	61247396.000
10/10/2011	7.18	7.38	6.96	7.20	2407516	39612608.000
10/11/2011	7.42	7.62	7.11	7.20	3027138	51135992.000
10/12/2011	7.00	7.53	6.78	7.51	3176286	52806616.000
10/13/2011	7.40	7.98	7.36	7.78	4162430	73418976.000
10/14/2011	7.67	7.96	7.64	7.81	2838519	50544260.000
10/17/2011	8.24	8.60	8.24	8.60	4651023	90665080.000
10/18/2011	8.99	9.31	8.61	8.64	10692787	218157680.000
10/19/2011	8.76	8.78	8.14	8.19	6426006	123083184.000
10/20/2011	8.07	8.38	8.04	8.14	4864796	91168088.000
10/21/2011	8.07	8.10	7.32	7.32	5442354	94162192.000
10/24/2011	7.22	8.02	7.12	7.81	5084580	87674776.000
10/25/2011	7.70	8.52	7.57	8.23	6576944	120552088.000
10/26/2011	8.07	8.76	8.02	8.43	7091167	136716720.000
10/27/2011	8.25	8.64	8.17	8.35	5461438	104736976.000
10/28/2011	8.41	8.88	8.16	8.68	6710148	130964592.000
10/31/2011	8.55	9.04	8.49	8.79	5578679	111661320.000
11/01/2011	8.56	8.74	8.31	8.42	4582105	89051776.000
11/02/2011	8.24	9.28	8.16	9.28	5650409	112364360.000
11/03/2011	9.89	9.89	9.05	9.07	9663726	210336544.000
11/04/2011	8.94	9.20	8.62	8.78	5950420	120424928.000
11/08/2011	8.77	9.00	8.52	8.62	4138384	82845984.000
11/09/2011	8.68	9.18	8.47	9.09	5537996	111458664.000
11/10/2011	8.91	8.92	8.54	8.60	5425940	108309424.000
11/11/2011	8.52	8.76	8.34	8.56	3646251	70920448.000
11/14/2011	8.60	8.87	8.56	8.76	3549203	70732320.000
11/15/2011	8.74	8.86	8.56	8.71	2795286	55317364.000
11/16/2011	8.73	8.94	8.40	8.49	4770665	95189704.000
11/17/2011	8.44	8.77	8.28	8.59	4463136	86443576.000
11/18/2011	8.44	8.51	8.26	8.29	2588040	49404568.000
11/21/2011	8.24	8.33	7.81	8.00	2523411	46055612.000
11/22/2011	7.84	8.11	7.80	7.96	1600748	29032534.000
11/23/2011	8.00	8.09	7.89	7.95	1825500	33234032.000
11/24/2011	7.79	7.97	7.62	7.81	1773675	31573208.000
