300265 通光线缆 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/16/2011	17.64	18.10	16.55	18.03	24681270	427474208.000
09/19/2011	17.15	17.32	16.20	16.20	11137678	188397392.000
09/20/2011	15.58	16.10	15.27	15.70	8384046	133229440.000
09/21/2011	15.60	16.77	15.55	16.38	9650110	158836224.000
09/22/2011	16.08	16.20	14.85	15.00	9278750	146671680.000
09/23/2011	14.55	15.00	14.46	14.90	5101395	76365088.000
09/26/2011	14.80	15.21	14.72	14.90	3872988	59115964.000
09/27/2011	15.03	15.14	14.31	14.80	4108640	61585880.000
09/28/2011	14.88	14.95	14.48	14.65	3068330	45947716.000
09/29/2011	14.63	14.63	14.00	14.03	2747086	39796864.000
09/30/2011	14.04	14.15	13.46	13.60	2531676	35344048.000
10/10/2011	13.74	13.87	13.53	13.60	1557538	21708146.000
10/12/2011	13.59	14.28	13.16	14.17	3875964	55043580.000
10/13/2011	14.10	14.70	14.03	14.47	3566497	52267116.000
10/14/2011	14.43	14.47	13.93	14.18	3098890	44710772.000
10/17/2011	14.20	15.40	14.20	15.10	7395729	112457120.000
10/18/2011	14.82	15.55	14.57	14.67	7136259	109394808.000
10/19/2011	14.91	15.30	14.71	15.16	5013534	76797496.000
10/20/2011	14.95	14.95	13.81	14.10	4450684	64666940.000
10/21/2011	13.97	14.14	13.31	13.38	3011046	41746628.000
10/24/2011	13.44	13.90	12.76	13.77	2766900	37879772.000
10/25/2011	13.68	14.60	13.62	14.35	3925961	56765840.000
10/26/2011	14.23	14.93	14.05	14.53	4841385	71549384.000
10/27/2011	14.34	14.93	14.34	14.59	4230625	63176948.000
10/28/2011	14.75	14.97	14.45	14.88	4202998	62933408.000
10/31/2011	14.88	15.25	14.76	14.95	3580493	54478808.000
11/01/2011	14.75	14.96	14.46	14.91	3816541	57253032.000
11/02/2011	14.60	15.84	14.48	15.63	6253486	96872024.000
11/03/2011	15.63	16.36	15.44	15.55	7892361	126799232.000
11/04/2011	15.68	15.92	15.36	15.67	3762943	59779492.000
11/07/2011	15.74	15.84	15.40	15.55	3033194	48116192.000
11/09/2011	15.36	15.62	14.81	15.61	4392754	68062800.000
11/10/2011	15.30	15.84	15.06	15.17	3783396	59431456.000
11/11/2011	15.19	15.47	14.95	15.17	2161853	33433126.000
11/14/2011	15.33	16.23	15.21	15.91	4730424	75848248.000
11/15/2011	15.81	15.93	15.56	15.76	3075573	49162548.000
11/16/2011	15.73	15.80	14.93	15.01	3025601	47151444.000
11/17/2011	15.07	15.55	15.01	15.23	2925172	45379228.000
11/18/2011	14.95	15.10	14.41	14.43	2991261	44672896.000
11/21/2011	14.40	14.51	14.07	14.39	1559137	22570724.000
11/22/2011	14.13	14.52	14.13	14.51	1244030	18187734.000
11/23/2011	14.53	14.70	14.43	14.48	1274207	18866520.000
11/24/2011	14.20	14.50	14.09	14.36	1143282	16625191.000
11/25/2011	14.20	14.44	13.92	13.92	1269382	18295402.000
11/28/2011	14.01	14.10	13.79	13.95	864083	12257732.000
11/29/2011	14.11	14.18	13.85	14.16	1413250	20215940.000
11/30/2011	14.10	14.17	12.88	13.13	2250963	30665874.000
12/01/2011	13.63	13.67	13.23	13.31	1880824	25843638.000
12/02/2011	13.27	13.27	12.91	12.95	1097789	14561898.000
12/05/2011	12.94	12.95	12.03	12.15	1291421	16421516.000
12/06/2011	12.25	12.42	12.10	12.31	770541	9627366.000
12/07/2011	12.31	12.48	12.25	12.36	843971	10631756.000
12/08/2011	12.37	12.73	12.05	12.54	1645853	21016110.000
12/09/2011	12.45	12.75	12.30	12.53	944721	12111442.000
12/12/2011	12.47	12.65	12.25	12.30	725339	9222229.000
