300266 兴源过滤 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/27/2011	12.91	12.97	12.10	12.91	9636401	281067104.000
09/28/2011	12.62	13.17	11.89	12.07	5569654	160343728.000
09/29/2011	11.65	11.94	11.13	11.35	3368450	89889800.000
09/30/2011	11.35	11.51	10.54	10.69	2757954	69878976.000
10/10/2011	10.78	10.97	10.62	10.83	2036005	50978040.000
10/11/2011	11.14	11.43	10.73	10.89	2597535	67051172.000
10/12/2011	10.78	11.39	10.24	11.26	2967317	75531832.000
10/13/2011	11.30	11.61	11.20	11.47	3028807	80154344.000
10/14/2011	11.48	11.71	11.29	11.69	2640984	70627808.000
10/17/2011	11.74	12.51	11.68	12.17	3826039	107346280.000
10/18/2011	12.00	12.43	11.95	12.03	3548002	100215096.000
10/19/2011	12.44	13.24	12.26	12.49	4893206	144428048.000
10/20/2011	12.03	12.20	11.39	12.19	3449715	94183904.000
10/21/2011	12.05	12.60	11.92	12.19	2872629	81613872.000
10/24/2011	12.03	12.59	10.99	12.44	3413596	93820752.000
10/25/2011	12.18	13.66	12.09	12.78	6295409	188829824.000
10/26/2011	12.31	12.72	12.19	12.37	4666223	134557264.000
10/27/2011	13.02	13.62	12.76	13.62	4788026	146818784.000
10/28/2011	14.27	14.99	13.93	14.84	6605558	220659872.000
10/31/2011	14.63	15.31	14.50	15.17	4388981	150125056.000
11/01/2011	14.85	14.93	14.42	14.65	2997747	101779632.000
11/02/2011	14.27	15.59	14.25	15.33	4140546	141206272.000
11/03/2011	15.11	15.11	14.55	14.56	3266838	111968976.000
11/04/2011	14.66	15.00	14.50	14.70	2036802	69380152.000
11/07/2011	14.56	14.80	14.39	14.59	1366568	46092752.000
11/08/2011	14.58	14.71	13.84	13.84	1924463	63423196.000
11/09/2011	13.90	14.40	13.66	14.31	2211607	71851032.000
11/10/2011	14.08	14.70	13.84	13.84	2718450	89976136.000
11/11/2011	13.85	14.06	13.66	13.73	1583415	50581592.000
11/14/2011	13.92	15.12	13.92	15.12	2402434	81305488.000
11/15/2011	15.50	15.96	15.20	15.96	4458759	160161904.000
11/16/2011	15.94	15.94	15.31	15.55	2878014	103662712.000
11/17/2011	15.64	17.11	15.43	16.37	3668160	137387456.000
