300267 尔康制药 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/27/2011	9.09	9.72	9.09	9.49	33496998	794666048.000
09/28/2011	9.35	9.53	8.51	8.51	17734809	402217600.000
09/29/2011	8.03	8.15	7.64	7.64	9765318	195898944.000
09/30/2011	7.71	7.77	7.36	7.51	6284524	120889152.000
10/10/2011	7.59	7.80	7.39	7.42	5024035	96941720.000
10/11/2011	7.71	7.85	7.19	7.31	7284530	140088848.000
10/12/2011	7.47	8.06	7.38	8.06	9482334	188292928.000
10/13/2011	8.27	8.67	8.18	8.50	12758368	271050272.000
10/14/2011	8.40	8.84	8.36	8.78	9299347	202932864.000
10/17/2011	8.85	9.48	8.85	8.98	11112165	256412512.000
10/18/2011	8.80	9.26	8.48	8.56	9177376	205478448.000
10/19/2011	8.62	8.96	8.43	8.79	7853413	173037920.000
10/20/2011	8.63	8.68	8.20	8.62	7483758	160225200.000
10/21/2011	8.56	8.76	7.88	7.88	7210494	151772912.000
10/24/2011	7.75	8.25	7.43	8.15	7350502	145516880.000
10/25/2011	8.05	8.85	8.01	8.52	8869383	190403808.000
10/26/2011	8.40	8.74	8.32	8.66	7432052	160776752.000
10/27/2011	8.60	9.05	8.47	8.72	9110360	200582624.000
10/28/2011	8.82	8.91	8.48	8.83	7842771	173290240.000
10/31/2011	8.76	9.12	8.71	8.94	7532936	170734384.000
11/01/2011	8.82	9.04	8.64	8.85	7580608	169605760.000
11/02/2011	8.67	9.76	8.52	9.49	10346964	238984288.000
11/03/2011	9.47	9.56	9.11	9.17	8251708	195682096.000
11/04/2011	9.27	9.40	9.09	9.29	6919994	161668000.000
11/07/2011	9.23	9.57	9.09	9.43	5907491	139728176.000
11/08/2011	9.47	9.51	8.96	9.00	6067983	141799488.000
11/09/2011	9.04	9.21	8.86	9.21	5104967	116969376.000
11/10/2011	9.04	9.37	9.00	9.00	5360563	123986976.000
11/11/2011	9.02	9.40	8.96	9.05	5346913	123937456.000
11/14/2011	9.19	9.70	9.15	9.49	6549211	156637264.000
11/15/2011	9.45	9.79	9.34	9.74	6576180	159260848.000
11/16/2011	9.78	9.81	9.30	9.37	5797970	139293840.000
11/17/2011	9.44	10.01	9.37	9.73	6047944	148226336.000
11/18/2011	9.57	9.64	9.22	9.29	4965141	118195392.000
11/21/2011	9.30	9.43	8.89	9.05	4408148	101905360.000
11/22/2011	8.95	9.22	8.92	9.13	2733036	62810144.000
11/23/2011	9.17	9.17	8.96	9.03	2418766	55648832.000
11/24/2011	8.96	9.11	8.69	8.95	3014173	68026752.000
11/25/2011	8.96	9.09	8.70	8.72	2924302	65926184.000
11/28/2011	8.77	8.81	8.54	8.62	3128797	68618744.000
11/29/2011	8.72	8.84	8.60	8.82	3119972	68857216.000
11/30/2011	8.80	8.80	7.95	8.13	3848101	81297224.000
12/01/2011	8.43	8.54	7.89	8.15	4340536	92126008.000
12/02/2011	8.09	8.09	7.83	7.91	2176331	43852412.000
12/05/2011	7.95	8.03	7.75	7.76	1760179	35322624.000
12/06/2011	7.73	8.17	7.67	8.12	3121289	63500340.000
12/07/2011	8.12	8.48	8.09	8.32	3612978	76541424.000
12/08/2011	8.28	8.52	8.09	8.34	2518368	53156160.000
12/09/2011	8.26	8.46	8.18	8.23	1548058	32505698.000
12/12/2011	8.23	8.55	8.19	8.38	2193403	46722352.000
12/13/2011	8.28	8.35	7.95	8.03	1856275	38300556.000
12/14/2011	8.00	8.26	7.92	8.09	1755052	36189404.000
12/15/2011	8.07	8.44	7.99	8.22	2535012	53062864.000
12/16/2011	8.20	8.35	7.79	8.34	3332703	67859888.000
12/19/2011	8.17	8.42	7.96	8.41	2950790	61340576.000
12/20/2011	8.36	8.52	8.13	8.15	2220950	46914584.000
12/21/2011	8.22	8.26	7.88	7.89	1754205	35878132.000
12/22/2011	7.79	7.81	7.40	7.54	2294617	44275792.000
12/23/2011	7.49	7.64	7.42	7.54	1418154	27170532.000
12/26/2011	7.47	7.63	7.27	7.31	1262798	24010622.000
12/27/2011	7.22	7.45	6.85	6.90	2556132	46225564.000
12/28/2011	6.82	6.82	6.60	6.70	1671290	28605392.000
12/29/2011	6.69	6.88	6.60	6.70	2541040	43650380.000
12/30/2011	6.74	6.85	6.68	6.81	1969239	34038512.000
01/04/2012	6.88	6.89	6.54	6.55	1824602	31495852.000
01/05/2012	6.41	6.45	6.06	6.11	2581432	41111836.000
01/06/2012	5.99	6.32	5.99	6.25	2114864	33487322.000
01/09/2012	6.27	6.57	6.15	6.53	2178163	35682992.000
01/10/2012	6.49	6.76	6.47	6.74	2479295	42077544.000
01/11/2012	6.72	6.92	6.66	6.72	2307070	39888140.000
01/12/2012	6.64	6.77	6.33	6.35	4673672	77364848.000
01/13/2012	6.27	6.40	6.00	6.04	2990888	47401008.000
01/16/2012	5.93	6.43	5.91	6.09	3674123	58443400.000
01/17/2012	5.87	6.45	5.68	6.29	4993186	77294680.000
01/18/2012	6.22	6.36	5.84	5.87	3443348	53718936.000
01/19/2012	5.73	6.12	5.73	6.05	2507133	38540564.000
01/20/2012	6.08	6.21	6.02	6.11	2230853	34978480.000
01/30/2012	6.17	6.41	6.05	6.19	3141434	50248264.000
01/31/2012	6.19	6.29	6.09	6.27	1332175	21034042.000
02/01/2012	6.27	6.42	6.19	6.29	2638844	42781824.000
02/02/2012	6.30	6.44	6.30	6.43	2546207	41611960.000
02/03/2012	6.41	6.61	6.37	6.56	2766077	46004532.000
02/06/2012	6.56	6.72	6.43	6.51	3286144	55147444.000
02/07/2012	6.49	6.51	6.36	6.41	1752626	28796866.000
02/08/2012	6.35	6.60	6.35	6.60	1666406	27757470.000
02/09/2012	6.60	6.80	6.56	6.70	2708107	46298544.000
02/10/2012	6.68	6.74	6.55	6.60	2410425	40783320.000
02/13/2012	6.57	6.86	6.51	6.77	3032473	52122564.000
02/14/2012	6.75	6.85	6.66	6.77	1852390	31884224.000
02/15/2012	6.74	6.84	6.68	6.83	2564020	44340884.000
02/16/2012	6.82	6.89	6.64	6.72	2912856	50087352.000
02/17/2012	6.74	6.76	6.53	6.60	2606942	44093228.000
02/20/2012	6.68	6.75	6.60	6.61	2311186	39304488.000
02/21/2012	6.60	6.81	6.57	6.81	2645744	45240056.000
02/22/2012	6.81	7.00	6.78	6.96	3814741	67249520.000
02/23/2012	6.98	7.10	6.91	7.07	3475787	62133688.000
02/24/2012	7.04	7.14	6.97	7.09	2906598	52251548.000
02/27/2012	7.11	7.20	7.00	7.06	3499159	63273940.000
02/28/2012	7.13	7.30	7.06	7.19	3985122	72877184.000
02/29/2012	7.13	7.25	6.96	7.03	2542613	45952560.000
03/01/2012	7.06	7.30	6.99	7.22	3479141	63610608.000
03/02/2012	7.24	7.46	7.21	7.42	3296376	61552936.000
03/05/2012	7.45	7.53	7.36	7.50	2983209	56527476.000
03/06/2012	7.47	7.47	7.30	7.42	2348336	44124864.000
03/07/2012	7.33	7.44	7.26	7.30	2435197	45520004.000
03/08/2012	7.39	7.45	7.31	7.37	2072467	38908168.000
03/09/2012	7.50	8.02	7.49	7.82	6682228	131870808.000
03/12/2012	7.81	8.14	7.70	8.02	6937803	139478208.000
03/13/2012	8.00	8.07	7.85	8.02	3479367	70422232.000
03/14/2012	8.07	8.47	7.82	7.99	8471501	175508384.000
03/15/2012	7.96	8.27	7.75	8.00	5533079	113108880.000
03/16/2012	7.96	8.59	7.96	8.52	5583053	117825408.000
03/19/2012	8.64	8.87	8.53	8.59	4875683	107205608.000
03/20/2012	8.49	8.59	8.31	8.40	2991264	63773092.000
03/21/2012	8.50	8.50	8.09	8.32	2932032	61260928.000
03/22/2012	8.21	8.49	8.11	8.15	3625795	76351928.000
03/23/2012	8.03	8.10	7.82	7.90	3176518	64219060.000
03/26/2012	7.90	8.11	7.87	8.05	2502041	50913620.000
03/27/2012	8.11	8.32	8.05	8.17	2661113	55537216.000
03/28/2012	8.05	8.17	7.75	7.77	2523677	50803188.000
03/29/2012	7.77	7.89	7.61	7.83	1829365	36148864.000
04/05/2012	7.86	8.26	7.83	8.25	2620552	53813920.000
04/06/2012	8.23	8.64	8.23	8.52	4044500	86944672.000
04/09/2012	8.50	8.80	8.36	8.48	2839695	61980388.000
04/10/2012	8.48	8.77	8.23	8.77	2925743	62919452.000
04/11/2012	8.68	8.87	8.58	8.67	2141601	47326700.000
04/12/2012	8.67	8.77	8.47	8.73	2170357	47521612.000
04/13/2012	8.79	8.79	8.53	8.57	2060978	45101928.000
04/16/2012	8.76	9.04	8.76	9.00	3365487	75846632.000
04/17/2012	8.99	9.46	8.79	9.15	5113804	90095792.000
04/18/2012	9.36	9.55	9.15	9.21	5101212	91478072.000
04/19/2012	9.20	9.66	9.19	9.61	5413408	98516800.000
04/20/2012	9.52	9.69	9.37	9.58	3894973	71092944.000
04/23/2012	9.44	9.52	9.05	9.20	4633006	82772536.000
04/24/2012	9.09	9.37	8.47	8.97	4681738	79984464.000
04/25/2012	8.89	9.38	8.75	9.30	4226275	74646856.000
04/26/2012	9.19	9.29	9.03	9.06	2346388	41248908.000
04/27/2012	9.11	9.23	8.83	9.05	1960500	33824816.000
05/02/2012	9.14	9.49	9.04	9.48	2684843	48207828.000
05/03/2012	9.51	9.90	9.42	9.83	3103904	57863336.000
05/04/2012	9.83	10.17	9.74	10.01	3048441	58752828.000
05/07/2012	10.04	10.04	9.77	9.94	2332774	44258620.000
05/08/2012	9.93	9.99	9.74	9.91	1454539	27517710.000
05/09/2012	9.93	9.93	9.47	9.64	2184146	40406536.000
05/10/2012	9.55	9.88	9.55	9.71	1073219	20094918.000
05/11/2012	9.78	9.78	9.50	9.61	1105059	20449992.000
05/14/2012	9.61	9.97	9.60	9.73	2239489	42301832.000
05/15/2012	9.71	9.71	9.45	9.57	1520749	27854276.000
05/16/2012	9.56	9.68	9.48	9.64	982641	18094974.000
05/17/2012	9.55	9.77	9.41	9.74	1627396	30122242.000
05/18/2012	9.64	9.83	9.59	9.82	1409849	26184804.000
05/21/2012	9.75	9.87	9.36	9.41	2200557	40262132.000
05/22/2012	9.35	9.95	9.32	9.91	3343665	62714268.000
05/23/2012	9.89	10.16	9.79	9.99	2578851	49477152.000
05/24/2012	9.99	10.29	9.94	10.07	2822649	54992348.000
05/25/2012	10.13	10.23	9.58	9.68	1821194	34293364.000
05/28/2012	9.55	9.81	9.34	9.76	1975140	36351688.000
05/29/2012	9.68	10.12	9.60	10.07	1767469	33884040.000
05/30/2012	10.07	10.25	10.00	10.07	1113115	21629682.000
05/31/2012	10.01	10.39	9.90	10.25	1426892	27981164.000
06/01/2012	10.21	10.66	10.12	10.59	1637092	32911556.000
06/04/2012	10.45	10.66	10.34	10.40	1830776	36889280.000
06/05/2012	10.32	10.84	10.32	10.38	2760837	56146828.000
06/06/2012	10.43	10.74	10.13	10.32	2233571	44739504.000
06/07/2012	10.47	10.59	10.26	10.53	1213610	24376140.000
06/08/2012	10.54	10.69	10.31	10.43	1060176	21423558.000
06/11/2012	10.45	10.85	10.36	10.85	1412439	28955062.000
06/12/2012	10.81	11.21	10.75	11.07	1424700	30131308.000
06/13/2012	11.07	11.66	11.03	11.43	2387264	52248180.000
06/14/2012	11.51	11.51	11.24	11.29	1336268	29072446.000
06/15/2012	11.18	11.57	11.03	11.13	1503914	32552452.000
06/18/2012	11.18	11.42	11.02	11.14	1917518	41178000.000
06/19/2012	11.15	11.41	11.11	11.26	1455477	31505270.000
06/20/2012	11.22	11.41	10.66	10.75	3019607	63041340.000
06/21/2012	10.62	10.87	10.59	10.69	1406384	28797724.000
06/25/2012	10.54	10.91	10.48	10.53	1994891	40981900.000
06/26/2012	10.53	11.11	10.45	11.11	3145648	65229540.000
06/27/2012	11.08	11.25	10.82	11.08	2943119	62321056.000
06/28/2012	11.00	11.13	10.69	10.84	2293901	47821380.000
06/29/2012	10.84	11.14	10.64	11.05	2023931	42649764.000
07/02/2012	11.12	11.63	11.03	11.39	2591437	56575080.000
07/03/2012	11.47	11.58	11.22	11.47	1716954	37561888.000
07/04/2012	11.38	11.53	10.68	10.89	3853283	81829680.000
07/05/2012	10.84	10.97	10.58	10.79	1951489	40397476.000
07/06/2012	10.91	11.41	10.63	11.32	2585240	54965860.000
07/09/2012	10.99	11.42	10.42	10.95	2488494	52549196.000
07/10/2012	10.85	10.85	10.53	10.53	2200415	45016884.000
07/11/2012	10.47	10.80	10.43	10.79	1926856	39309524.000
07/12/2012	10.73	11.40	10.58	11.28	3438163	73788552.000
07/13/2012	11.21	11.55	11.11	11.26	1310230	28435990.000
07/16/2012	11.18	11.38	10.78	10.79	1082875	22811682.000
07/17/2012	10.77	10.84	10.45	10.80	748848	15325192.000
07/18/2012	10.74	10.87	10.49	10.83	819077	16822206.000
07/19/2012	10.79	11.04	10.59	10.66	1142838	23671238.000
07/20/2012	10.68	10.76	10.55	10.59	873054	17819750.000
07/23/2012	10.48	10.68	10.43	10.52	684176	13873646.000
07/24/2012	10.43	10.59	9.84	9.88	3129997	60589056.000
07/25/2012	9.78	10.32	9.71	10.16	2177669	42020344.000
07/26/2012	10.09	10.21	9.89	10.03	1789120	34638808.000
07/27/2012	10.05	10.11	9.63	9.75	1475920	27909702.000
07/30/2012	9.75	9.89	9.47	9.47	905720	16903302.000
07/31/2012	9.44	9.66	9.40	9.51	554776	10180990.000
08/01/2012	9.55	9.92	9.55	9.73	1020134	19235010.000
08/02/2012	9.69	10.11	9.64	9.83	1160627	22090292.000
08/03/2012	10.00	10.83	10.00	10.63	2127034	42294988.000
08/06/2012	10.55	11.06	10.38	10.95	1762117	36462984.000
08/07/2012	10.95	11.03	10.77	10.94	572338	11932794.000
08/08/2012	10.94	11.43	10.80	11.43	1192491	25385462.000
08/09/2012	11.48	12.16	11.16	11.95	2030854	45096692.000
08/10/2012	11.82	11.99	11.68	11.74	885614	20105012.000
08/13/2012	11.70	11.84	11.54	11.57	676392	15111684.000
08/14/2012	11.58	11.68	10.94	11.45	1126580	24409736.000
08/15/2012	11.38	11.38	11.03	11.13	1006169	21586992.000
08/16/2012	11.05	11.06	10.82	10.82	1256210	26392382.000
08/17/2012	10.79	11.03	10.78	10.95	1202931	25145924.000
08/20/2012	10.95	11.13	10.73	11.11	807123	17063154.000
08/21/2012	11.05	11.69	11.05	11.39	1603757	35135416.000
08/22/2012	11.41	11.66	10.95	11.15	1310707	28349458.000
08/23/2012	11.05	11.25	10.81	11.14	1484296	31240350.000
08/24/2012	11.13	11.13	10.54	10.61	1523866	31362302.000
08/27/2012	10.47	10.82	10.21	10.65	682387	13858808.000
08/28/2012	10.60	10.89	10.32	10.78	1158844	23443200.000
08/29/2012	10.68	10.84	10.57	10.71	1078200	22133116.000
08/30/2012	10.65	10.74	10.11	10.47	920072	18332988.000
08/31/2012	10.42	10.67	10.39	10.51	375437	7596643.500
09/03/2012	10.51	10.84	10.42	10.63	1018638	20933196.000
09/04/2012	10.66	10.82	10.62	10.76	800085	16506990.000
09/05/2012	10.68	11.16	10.64	11.10	881050	18466486.000
09/06/2012	11.08	11.13	10.85	11.00	487900	10272335.000
09/07/2012	11.18	11.36	11.01	11.25	1197602	25643832.000
09/10/2012	11.25	11.32	11.07	11.18	588304	12615463.000
09/11/2012	11.13	11.20	10.99	11.04	703733	14971369.000
09/12/2012	11.11	11.21	10.72	10.83	764167	16084823.000
09/13/2012	10.82	10.82	10.40	10.41	1683199	34038604.000
09/14/2012	10.39	10.55	10.27	10.34	1299570	25772578.000
09/17/2012	10.33	10.33	10.05	10.08	719357	14100500.000
09/18/2012	10.05	10.34	9.99	10.34	794353	15630781.000
09/19/2012	10.41	10.41	10.20	10.24	527152	10404163.000
09/20/2012	10.23	10.23	9.84	9.86	749979	14318306.000
09/21/2012	9.83	9.94	8.89	9.19	3587674	63426536.000
09/24/2012	9.06	9.47	8.89	9.31	2108223	37293100.000
09/25/2012	9.15	9.34	8.68	8.79	2172188	37183948.000
09/26/2012	8.79	8.97	8.60	8.69	1637102	27770014.000
09/27/2012	8.75	9.42	8.75	9.31	2487226	43413096.000
09/28/2012	9.25	9.70	9.21	9.67	1695655	31122804.000
10/08/2012	9.67	9.74	9.32	9.57	976094	17749484.000
10/09/2012	9.53	9.85	9.53	9.67	1274867	23745184.000
10/10/2012	9.71	9.79	9.37	9.59	7190145	130883624.000
10/11/2012	9.54	9.82	9.50	9.68	2870218	53351192.000
10/12/2012	9.50	9.58	9.16	9.40	3746590	67885544.000
10/15/2012	9.40	9.47	9.22	9.41	1286032	23074750.000
10/16/2012	9.43	9.98	9.43	9.79	2932191	55319556.000
10/17/2012	9.86	9.96	9.70	9.87	1468417	27778600.000
10/18/2012	9.97	10.09	9.89	9.91	1866731	35880868.000
10/19/2012	9.89	10.00	9.78	9.83	760732	14411172.000
10/22/2012	9.79	10.06	9.73	9.96	940436	17965140.000
10/23/2012	9.95	9.95	9.75	9.79	1000765	18899148.000
10/24/2012	9.74	9.83	9.56	9.61	705379	13151968.000
10/25/2012	9.61	9.71	9.32	9.41	949062	17234984.000
10/26/2012	9.61	9.61	9.19	9.36	643697	11475498.000
10/29/2012	9.36	9.46	9.20	9.38	532165	9531536.000
10/30/2012	9.37	9.49	9.22	9.41	407238	7334374.000
10/31/2012	9.41	9.45	9.32	9.43	722791	13020036.000
11/01/2012	9.45	9.58	9.45	9.54	1025789	18790482.000
11/02/2012	9.57	9.67	9.46	9.53	681531	12543631.000
11/05/2012	9.57	9.57	9.35	9.43	525080	9544579.000
11/06/2012	9.43	9.52	9.18	9.46	622088	11170137.000
11/07/2012	9.50	9.50	9.32	9.41	235250	4254635.500
11/08/2012	9.32	9.41	9.02	9.05	705651	12428102.000
11/09/2012	9.05	9.16	8.72	8.78	693900	11855300.000
11/12/2012	8.81	8.92	8.62	8.79	856300	14448465.000
11/13/2012	8.79	8.79	8.66	8.73	505259	8447982.000
11/14/2012	8.63	8.89	8.60	8.69	624547	10511190.000
11/15/2012	8.74	9.00	8.71	8.93	1107581	19025192.000
11/16/2012	8.92	8.95	8.78	8.86	571034	9685277.000
11/19/2012	8.76	8.89	8.69	8.83	277761	4688275.500
11/20/2012	8.93	8.94	8.67	8.68	475050	7997348.000
11/21/2012	8.69	8.75	8.39	8.68	1217888	20099962.000
11/22/2012	8.73	8.76	8.54	8.54	512889	8543975.000
11/23/2012	8.55	8.72	8.55	8.66	643328	10657669.000
11/26/2012	8.61	8.75	8.58	8.71	706529	11773941.000
11/27/2012	8.71	8.71	8.39	8.39	337140	5530500.500
11/28/2012	8.41	8.41	8.21	8.23	339480	5419106.000
11/29/2012	8.22	8.31	8.05	8.11	239650	3755239.750
11/30/2012	8.19	8.25	8.03	8.21	435167	6856177.500
12/03/2012	8.21	8.28	8.06	8.06	427980	6758721.500
12/04/2012	8.06	8.33	7.84	8.26	719644	11287249.000
12/05/2012	8.26	8.72	8.26	8.65	1159058	19139054.000
12/06/2012	8.65	8.78	8.54	8.66	743948	12381609.000
12/07/2012	8.68	8.92	8.57	8.87	1119020	18838360.000
12/10/2012	8.84	9.08	8.81	8.92	571186	9854143.000
12/11/2012	8.92	8.93	8.82	8.82	374875	6386719.500
12/12/2012	8.77	8.85	8.61	8.69	395764	6633852.000
12/13/2012	8.69	8.83	8.58	8.67	466189	7752253.000
12/14/2012	8.67	9.05	8.67	8.97	2039939	34986652.000
12/17/2012	8.94	9.03	8.79	8.90	1118877	19074516.000
12/18/2012	8.87	8.92	8.74	8.76	818180	13898227.000
12/19/2012	8.80	8.89	8.68	8.76	712376	11953101.000
12/20/2012	8.74	8.87	8.50	8.75	1016836	17009112.000
12/21/2012	8.78	9.42	8.72	9.42	3275305	57219804.000
12/24/2012	9.37	9.70	9.29	9.45	2245104	40742440.000
12/25/2012	9.45	9.68	9.42	9.62	1836149	33736256.000
12/26/2012	9.63	9.92	9.53	9.91	1722623	32311838.000
12/27/2012	9.91	10.05	9.57	9.61	1027788	19144840.000
12/28/2012	9.61	10.08	9.56	9.93	1508030	28576354.000
12/31/2012	9.93	10.25	9.85	9.97	1825273	35178648.000
01/04/2013	10.01	10.09	9.83	9.84	945225	18006510.000
01/07/2013	9.84	10.05	9.74	9.95	1465255	27890322.000
01/08/2013	9.99	10.46	9.99	10.29	2441920	47987976.000
01/09/2013	10.16	10.36	10.11	10.22	878409	17243578.000
01/10/2013	10.25	10.34	10.06	10.13	603163	11798720.000
01/11/2013	10.22	10.22	9.81	9.83	756531	14461184.000
01/14/2013	9.79	10.23	9.76	10.21	1692611	32923586.000
01/15/2013	10.21	10.62	10.05	10.46	4952641	97541184.000
01/16/2013	10.37	10.63	10.22	10.48	2391755	48143660.000
01/17/2013	10.38	10.82	10.38	10.56	1852577	37955712.000
01/18/2013	10.56	11.00	10.56	10.87	1491239	30910572.000
01/21/2013	10.94	11.05	10.63	10.95	1718480	35810836.000
01/22/2013	10.83	10.94	10.41	10.42	2332057	47524508.000
01/23/2013	10.42	10.51	10.18	10.37	1435075	28472052.000
01/24/2013	10.37	10.50	10.00	10.12	1591995	31279310.000
01/25/2013	10.06	10.42	10.05	10.42	1585029	31019904.000
01/28/2013	10.25	10.46	10.18	10.42	2945165	58093292.000
01/29/2013	10.42	10.66	10.26	10.32	2205185	44039668.000
01/30/2013	10.32	10.42	10.00	10.05	1541329	29913148.000
01/31/2013	10.06	10.15	9.87	9.98	1592875	30581416.000
02/01/2013	9.95	10.10	9.94	10.07	644145	12421103.000
02/04/2013	10.11	10.11	9.63	9.66	2090303	39217624.000
02/05/2013	9.58	9.84	9.55	9.79	2035174	37871404.000
02/06/2013	9.78	9.85	9.75	9.83	1766672	33231362.000
02/07/2013	9.83	10.18	9.82	10.09	1502405	28887108.000
02/08/2013	10.09	10.45	10.08	10.41	1513031	29930832.000
02/18/2013	10.53	10.53	10.22	10.41	1587232	31493520.000
02/19/2013	10.41	10.46	10.16	10.16	1121340	22136750.000
02/20/2013	10.15	11.12	10.15	10.95	3041393	62244960.000
02/21/2013	10.89	11.58	10.82	10.84	8343983	177626896.000
