300268 万福生科 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/27/2011	15.36	15.83	14.11	14.37	10985167	326482656.000
09/28/2011	14.76	15.54	14.65	14.85	8994903	273222112.000
09/29/2011	13.49	13.75	13.35	13.35	5502277	148822048.000
09/30/2011	12.86	12.99	12.42	12.47	4117998	105429640.000
10/10/2011	12.58	12.93	12.24	12.65	2754611	70494432.000
10/11/2011	13.04	13.25	12.32	12.54	3207580	83857976.000
10/12/2011	12.27	13.23	12.17	13.05	3711293	96600704.000
10/13/2011	12.95	13.62	12.91	13.28	3874593	104211408.000
10/14/2011	13.24	14.03	13.24	13.80	4191364	115989928.000
10/17/2011	13.81	14.63	13.68	14.20	4586695	131400776.000
10/18/2011	13.85	14.15	13.37	13.44	3476444	97258008.000
10/19/2011	13.51	13.95	13.43	13.62	2467680	68304152.000
10/20/2011	13.52	14.23	13.01	14.04	3894374	106978312.000
10/21/2011	13.84	14.02	12.86	12.95	3519240	95650088.000
10/24/2011	12.79	13.28	12.20	13.16	2940218	75573368.000
10/25/2011	13.76	14.49	13.76	14.49	4843780	140496960.000
10/26/2011	14.62	15.19	14.61	14.79	5867582	176115936.000
10/27/2011	14.79	16.25	14.68	15.83	5605662	174678720.000
10/28/2011	15.75	16.64	15.56	16.27	4225262	136055536.000
10/31/2011	16.22	16.25	15.78	16.19	2834511	91814272.000
11/01/2011	15.95	16.55	15.51	15.69	3920567	126342960.000
11/02/2011	15.24	16.68	15.14	16.35	3780740	121113480.000
11/03/2011	16.25	16.70	15.76	15.76	3311641	107746784.000
11/04/2011	15.86	16.44	15.75	16.01	2317293	75070536.000
11/07/2011	15.85	16.09	15.56	15.84	1507487	47989840.000
11/08/2011	15.74	15.96	15.38	15.38	1501969	47605044.000
11/09/2011	15.43	15.75	15.19	15.70	1642774	51357812.000
11/10/2011	15.46	15.94	15.25	15.25	2220751	69994768.000
11/11/2011	15.25	15.43	15.01	15.12	1620509	49731888.000
11/14/2011	15.34	16.15	15.21	15.88	2130756	67946120.000
11/15/2011	15.79	15.95	15.66	15.78	1497165	47707308.000
11/16/2011	15.88	16.50	15.66	15.81	3101350	100689312.000
11/17/2011	15.83	17.30	15.62	16.69	4529357	151277840.000
11/18/2011	16.43	16.79	16.29	16.78	3190493	106335688.000
11/21/2011	16.70	16.77	15.95	16.33	2124617	69798656.000
11/22/2011	16.01	16.40	15.80	16.32	1751913	57022428.000
11/23/2011	16.28	16.93	16.20	16.42	2388063	80096016.000
11/24/2011	16.18	17.19	16.12	17.14	2404656	80936040.000
11/25/2011	16.98	17.20	16.50	16.66	1956862	66428504.000
11/28/2011	16.61	17.00	16.28	16.49	1747312	58808132.000
11/29/2011	16.68	16.78	16.06	16.33	1984680	65218888.000
11/30/2011	16.25	16.40	14.68	14.84	2316711	71942200.000
12/01/2011	15.44	15.73	14.85	14.88	2190275	67863232.000
12/02/2011	14.78	14.94	14.28	14.39	1273805	37323800.000
12/05/2011	14.39	14.55	14.00	14.08	959092	27768750.000
12/06/2011	14.07	14.58	14.07	14.44	835001	24236500.000
12/07/2011	14.54	14.77	14.40	14.70	1098643	32500204.000
12/08/2011	14.69	15.03	14.29	14.75	1109500	33025534.000
12/09/2011	14.59	14.78	14.30	14.43	830779	24379690.000
12/12/2011	14.49	14.54	14.18	14.21	584651	16989366.000
12/13/2011	14.20	14.21	13.51	13.58	954860	26483504.000
12/14/2011	13.58	14.01	13.44	13.58	1021315	28468064.000
12/15/2011	13.42	13.79	13.19	13.52	859773	23537726.000
12/16/2011	13.57	13.98	13.30	13.95	911601	25127730.000
12/19/2011	13.72	14.29	13.55	14.24	1108969	31117814.000
12/20/2011	14.05	14.32	13.61	13.66	1271471	35927328.000
12/21/2011	13.79	13.85	13.30	13.30	786444	21683072.000
12/22/2011	13.09	13.29	12.69	13.05	939127	24565668.000
12/23/2011	12.98	13.28	12.92	13.06	719314	19086520.000
12/26/2011	12.99	13.31	12.96	13.06	607294	16159403.000
12/27/2011	12.92	13.09	12.25	12.30	1054201	26778474.000
12/28/2011	12.19	12.20	11.71	11.98	965767	23282496.000
12/29/2011	11.85	12.14	11.81	12.01	874337	21336774.000
12/30/2011	12.08	12.34	11.95	12.07	2025990	49661756.000
01/04/2012	12.21	12.28	11.45	11.49	1769713	42648144.000
01/05/2012	11.29	11.35	10.58	10.70	1339826	29894556.000
01/06/2012	10.72	11.15	10.57	11.05	1054739	23254592.000
01/09/2012	11.04	11.68	10.93	11.65	2126292	48853160.000
01/10/2012	11.51	12.13	11.51	12.01	1889216	45521328.000
01/11/2012	11.90	12.17	11.81	12.01	1493803	36191524.000
01/12/2012	11.89	12.09	11.60	11.82	1622274	38904976.000
01/13/2012	11.72	11.90	10.85	10.96	1713218	39201596.000
01/16/2012	10.85	10.91	10.44	10.45	840936	18270090.000
01/17/2012	9.81	10.85	9.45	10.73	3714730	76052640.000
01/18/2012	10.50	10.60	9.64	9.64	2673723	54941908.000
01/19/2012	9.46	10.14	9.36	9.91	1842746	36706504.000
01/20/2012	9.89	10.25	9.86	10.13	1137678	23394818.000
01/30/2012	10.20	10.54	9.93	10.24	1382561	28887676.000
01/31/2012	10.25	10.30	9.91	10.20	932753	19035798.000
02/01/2012	10.10	10.53	10.02	10.26	1232888	25835938.000
02/02/2012	10.90	11.30	10.90	11.30	1339498	30502630.000
02/03/2012	11.85	11.85	11.43	11.73	5087731	120015032.000
02/06/2012	11.57	11.70	11.46	11.66	2301419	53950916.000
02/07/2012	11.52	11.62	11.14	11.20	1978482	45338376.000
02/08/2012	11.15	11.57	11.13	11.51	1577383	36286216.000
02/09/2012	11.40	11.80	11.40	11.67	1983334	46920232.000
02/10/2012	11.59	11.90	11.38	11.90	2343991	55562920.000
02/13/2012	11.70	12.03	11.65	11.91	2226650	53495184.000
02/14/2012	11.86	11.91	11.68	11.75	1164696	27759890.000
