300269 联建光电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/12/2011	12.17	14.03	12.17	13.70	11615934	248085136.000
10/13/2011	12.94	14.17	12.79	13.64	8769942	192096128.000
10/14/2011	13.26	13.37	12.88	13.12	5386639	116118536.000
10/17/2011	13.16	14.46	13.16	14.46	7564270	174542272.000
10/18/2011	14.65	14.66	13.70	13.75	8986478	210795456.000
10/19/2011	13.57	14.06	13.01	13.16	5177212	115192416.000
10/20/2011	13.03	13.03	12.35	12.54	3444862	71299984.000
10/21/2011	12.53	12.74	12.18	12.38	2817690	57699192.000
10/24/2011	12.45	12.50	11.35	12.30	3621969	71393792.000
10/25/2011	12.16	13.07	12.01	12.85	4606226	95555144.000
10/26/2011	12.73	13.26	12.63	12.96	4509065	95713896.000
10/27/2011	12.89	13.83	12.83	13.50	5352325	116865576.000
10/28/2011	13.49	13.75	13.16	13.61	4649548	102524472.000
10/31/2011	13.47	13.81	13.30	13.70	3571694	79517328.000
11/01/2011	13.59	13.70	13.16	13.66	3726799	82246264.000
11/02/2011	13.32	15.06	13.25	15.06	5964677	138998464.000
11/03/2011	15.82	16.61	15.73	16.61	10529871	278116864.000
11/04/2011	16.65	16.88	15.81	16.26	6753814	179976832.000
11/07/2011	16.15	16.73	15.96	16.13	4851024	129749872.000
11/08/2011	16.04	16.21	15.33	15.69	3679884	94502952.000
11/09/2011	15.60	16.28	15.41	16.10	4586011	119372160.000
11/10/2011	15.68	16.44	15.48	15.53	4719561	122783440.000
11/11/2011	15.28	15.43	14.72	14.94	3377581	83517160.000
11/14/2011	15.16	16.10	15.06	15.50	4004123	102286544.000
11/15/2011	15.45	15.51	15.10	15.48	2630979	65991376.000
11/16/2011	15.52	15.77	14.97	15.20	2692674	67985960.000
11/17/2011	15.21	16.14	15.15	15.63	3969749	101832824.000
11/18/2011	15.40	15.50	14.97	15.03	2418040	59942848.000
11/22/2011	14.38	14.76	14.05	14.45	2236692	52721216.000
11/23/2011	14.44	14.77	14.19	14.28	1958453	46647124.000
11/24/2011	13.93	14.40	13.78	14.09	1450546	33430998.000
11/25/2011	14.00	14.35	13.68	13.74	1393513	32073080.000
11/28/2011	13.76	14.09	13.65	14.03	1359579	30905150.000
11/29/2011	14.18	14.30	13.81	14.20	1361219	31341158.000
11/30/2011	14.15	14.15	12.74	12.77	2396000	51777640.000
12/01/2011	13.33	13.52	12.97	12.97	2030809	44167384.000
12/02/2011	12.85	13.11	12.65	12.78	968628	20462136.000
12/05/2011	12.83	12.83	12.04	12.13	1167641	23717920.000
12/06/2011	12.04	12.65	12.04	12.45	1139439	23202782.000
12/07/2011	12.36	12.76	12.33	12.63	1232109	25457784.000
12/08/2011	12.58	13.28	12.16	12.88	2172138	45646132.000
12/09/2011	12.66	13.06	12.55	12.68	1111942	23334516.000
12/12/2011	12.69	12.94	12.54	12.62	816465	17089678.000
12/13/2011	12.45	12.45	11.96	12.08	990232	19790256.000
12/14/2011	11.97	12.46	11.91	12.09	1208253	24300734.000
12/15/2011	11.96	12.52	11.85	12.26	1712783	34651336.000
12/16/2011	12.22	12.91	11.97	12.90	2070137	42277348.000
12/19/2011	12.64	13.33	12.63	13.27	2571039	54803692.000
12/20/2011	13.10	13.31	12.76	12.80	1789021	38303928.000
12/21/2011	12.96	13.06	12.19	12.27	1260837	26473404.000
12/22/2011	12.26	12.38	11.22	12.01	1709264	33011504.000
12/23/2011	11.84	12.18	11.71	11.78	1078211	21183410.000
12/26/2011	11.73	12.09	11.65	11.66	609522	11892271.000
12/27/2011	11.55	11.65	10.94	11.02	1047360	19447596.000
12/28/2011	11.01	11.01	10.22	10.63	1094436	19067162.000
12/29/2011	10.46	10.76	10.45	10.49	513663	8992971.000
12/30/2011	10.58	10.81	10.52	10.69	821522	14479543.000
01/04/2012	10.79	10.88	9.86	9.94	765165	13197969.000
01/05/2012	9.81	9.94	9.08	9.10	1075765	16842480.000
01/06/2012	9.15	9.51	8.86	9.36	734623	11147110.000
01/09/2012	9.31	9.86	9.09	9.86	1121428	17828100.000
01/10/2012	9.82	10.33	9.79	10.24	1279128	21327202.000
01/11/2012	10.23	10.65	10.04	10.26	1397887	23914904.000
01/12/2012	10.16	10.40	10.02	10.04	1075628	18078418.000
01/13/2012	10.03	10.17	9.36	9.40	1198415	19232642.000
01/16/2012	9.22	9.31	8.92	8.96	780073	11776810.000
01/17/2012	9.20	9.56	8.85	9.53	1553414	23812258.000
01/18/2012	9.50	9.58	8.85	8.85	1565117	24112254.000
01/19/2012	8.73	9.43	8.73	9.35	1178345	17951950.000
01/20/2012	9.38	9.55	9.29	9.41	977634	15312874.000
01/30/2012	9.48	9.90	9.35	9.49	1303525	20791124.000
01/31/2012	9.59	9.66	9.35	9.66	903183	14276252.000
02/01/2012	9.61	9.90	9.53	9.58	1084049	17446340.000
02/02/2012	9.72	9.91	9.57	9.89	1169160	18952074.000
02/03/2012	9.89	10.49	9.86	10.30	2079902	34821372.000
02/06/2012	10.23	10.31	10.07	10.16	1663358	27980112.000
02/07/2012	10.05	10.18	9.82	9.90	953400	15717062.000
02/08/2012	9.91	10.35	9.85	10.31	1241132	20738044.000
02/09/2012	10.22	10.71	10.21	10.34	1724094	29804962.000
02/10/2012	10.29	10.43	10.22	10.32	1155156	19714688.000
02/13/2012	10.26	10.71	10.19	10.59	1627888	28225408.000
02/14/2012	10.97	11.22	10.66	10.75	3444101	61921628.000
02/15/2012	10.68	11.02	10.68	10.92	1623359	29095706.000
02/16/2012	10.91	10.99	10.65	10.77	1591164	28400708.000
02/17/2012	10.77	10.86	10.53	10.64	1140364	20084842.000
02/20/2012	10.80	10.95	10.53	10.62	1964513	34937224.000
02/21/2012	10.61	11.06	10.53	11.05	2244445	40142208.000
02/22/2012	11.06	11.58	10.98	11.45	3316764	61914768.000
02/23/2012	11.59	11.66	11.25	11.66	3108198	58807952.000
02/24/2012	11.66	11.68	11.49	11.60	2345127	44691896.000
02/28/2012	11.53	11.95	11.41	11.91	2688468	51521552.000
02/29/2012	11.81	11.90	11.43	11.45	1651278	31546898.000
03/01/2012	11.29	11.68	11.29	11.46	1051350	19911554.000
03/02/2012	11.46	11.71	11.46	11.71	1247621	23898994.000
03/05/2012	11.75	12.02	11.75	11.88	1891561	36964972.000
03/06/2012	11.85	11.87	11.46	11.60	1340104	25615400.000
03/07/2012	11.41	11.76	11.36	11.49	1144527	21865162.000
03/08/2012	11.60	12.00	11.60	11.74	1646465	32010660.000
03/09/2012	11.73	12.25	11.73	12.25	2183447	43390632.000
03/12/2012	12.28	12.36	12.07	12.25	1510626	30320488.000
03/13/2012	12.19	12.43	12.19	12.38	1299441	26321426.000
03/14/2012	12.41	12.65	11.46	11.65	2701382	53770056.000
03/15/2012	11.70	11.76	11.23	11.47	1574384	29799336.000
03/16/2012	11.48	11.81	11.42	11.81	1477890	28397570.000
03/19/2012	11.73	12.08	11.68	12.06	1021629	20106594.000
03/20/2012	12.03	12.03	11.48	11.51	1176065	22649328.000
03/21/2012	11.51	11.71	10.91	11.34	1414039	26329266.000
03/22/2012	11.22	11.45	11.16	11.33	582749	10836524.000
03/23/2012	11.21	11.28	10.98	11.06	697705	12802138.000
03/26/2012	11.10	11.10	10.85	10.96	630898	11403470.000
03/27/2012	11.07	11.13	10.91	10.94	592132	10765163.000
03/28/2012	10.85	10.90	10.10	10.14	1152795	19922812.000
03/29/2012	10.10	10.26	9.85	9.94	484331	8063940.000
03/30/2012	10.06	10.11	9.85	9.95	530643	8756996.000
04/05/2012	10.01	10.41	9.90	10.33	810632	13693925.000
04/06/2012	10.36	10.53	10.27	10.39	611527	10531545.000
04/09/2012	10.41	10.63	10.25	10.43	544487	9427508.000
04/10/2012	10.40	10.78	10.10	10.75	922591	15896855.000
04/11/2012	10.09	10.39	9.90	10.25	2082920	35095228.000
04/12/2012	10.25	10.33	10.01	10.30	1707719	28739526.000
04/13/2012	10.30	10.52	10.30	10.38	1351447	23237754.000
04/16/2012	10.38	10.38	10.08	10.22	1173010	19796710.000
04/17/2012	10.16	10.29	10.05	10.05	699312	11715218.000
04/18/2012	10.11	10.32	10.00	10.28	1065726	17978004.000
04/19/2012	10.27	10.45	10.20	10.42	1153692	19736100.000
04/20/2012	10.44	10.53	10.37	10.49	1252857	21626922.000
04/23/2012	10.40	10.40	9.46	9.47	2003890	32790288.000
04/24/2012	9.36	9.50	8.91	9.25	1249868	19042782.000
04/25/2012	9.16	9.41	9.05	9.36	825909	12634448.000
04/26/2012	9.45	9.59	9.28	9.43	733214	11420083.000
04/27/2012	9.40	9.63	9.38	9.44	954548	15003827.000
05/02/2012	9.50	9.50	9.24	9.46	1116486	17409130.000
05/03/2012	9.39	9.46	9.25	9.41	602162	9356916.000
05/04/2012	9.41	9.65	9.41	9.60	791057	12514683.000
05/07/2012	9.60	9.94	9.58	9.82	1147605	18479228.000
05/08/2012	9.82	9.99	9.75	9.85	1207383	19761868.000
05/09/2012	9.78	9.88	9.47	9.53	939449	15033846.000
05/10/2012	9.60	9.75	9.53	9.70	544582	8727218.000
05/11/2012	9.71	9.77	9.53	9.56	721829	11517187.000
05/14/2012	9.61	9.90	9.54	9.68	946900	15277074.000
05/15/2012	9.63	9.96	9.56	9.89	1101633	17926744.000
05/16/2012	9.86	10.47	9.73	10.03	1641183	27334958.000
05/17/2012	10.10	10.21	10.00	10.18	1492011	24932522.000
05/18/2012	10.18	10.18	9.81	9.81	948701	15378012.000
05/21/2012	9.69	9.89	9.51	9.63	469915	7381116.500
05/22/2012	9.70	9.75	9.65	9.72	533879	8410896.000
05/23/2012	9.66	9.67	9.35	9.47	493197	7624887.500
05/24/2012	9.47	10.08	9.41	9.55	713660	11281607.000
05/25/2012	9.53	9.58	9.31	9.36	630299	9634269.000
05/28/2012	9.23	9.35	8.98	9.32	428213	6433075.000
05/29/2012	9.35	9.68	9.28	9.53	615123	9517261.000
05/30/2012	9.53	9.75	9.47	9.63	646088	10102821.000
05/31/2012	9.74	10.61	9.74	10.61	3568223	59832032.000
06/01/2012	10.93	11.03	10.25	10.33	4584300	79285648.000
06/04/2012	9.93	10.10	9.88	9.99	2002899	32484308.000
06/05/2012	9.94	10.05	9.78	9.81	1362894	21919586.000
06/06/2012	9.81	9.97	9.63	9.64	1136938	18102720.000
06/07/2012	9.70	9.96	9.60	9.66	1200621	19082020.000
06/08/2012	9.78	9.90	9.61	9.71	992357	15704807.000
06/11/2012	9.72	10.17	9.66	10.13	1741894	28232526.000
06/12/2012	10.03	10.15	9.86	9.87	1104075	17861796.000
06/13/2012	9.90	10.11	9.86	10.10	1062562	17285752.000
06/14/2012	10.08	10.13	9.91	9.92	939718	15296848.000
06/15/2012	9.95	10.01	9.85	9.95	631208	10185519.000
06/18/2012	10.01	10.34	10.01	10.15	1301780	21584984.000
06/19/2012	10.11	10.27	10.11	10.16	1119409	18524188.000
06/20/2012	10.23	10.44	10.11	10.35	1299793	21738924.000
06/21/2012	10.34	10.34	9.97	10.02	943616	15462592.000
06/25/2012	9.97	10.01	9.57	9.57	773520	12309537.000
06/26/2012	9.50	9.66	9.48	9.58	586056	9124222.000
06/27/2012	9.58	9.84	9.53	9.61	679364	10687434.000
06/28/2012	9.65	9.82	9.44	9.51	648834	10202981.000
06/29/2012	9.54	9.66	9.29	9.63	676566	10417763.000
07/02/2012	9.72	9.80	9.61	9.69	653559	10335752.000
07/03/2012	9.68	10.06	9.68	9.98	1132767	18244670.000
07/04/2012	9.96	10.06	9.86	9.92	790736	12813291.000
07/05/2012	9.85	9.88	9.41	9.58	897551	14009614.000
07/06/2012	9.60	9.65	9.21	9.63	1015977	15596029.000
07/09/2012	9.48	9.57	9.15	9.16	693589	10542224.000
07/10/2012	9.16	9.22	8.99	9.08	420305	6227570.500
07/11/2012	9.05	9.17	9.04	9.11	277652	4114577.500
07/12/2012	9.16	9.33	9.06	9.28	451586	6768918.500
07/13/2012	8.67	8.91	8.36	8.37	1862215	25789612.000
07/16/2012	8.36	8.37	7.81	7.81	1070684	13978282.000
07/17/2012	7.81	7.96	7.73	7.90	357859	4587418.000
07/18/2012	7.96	7.96	7.72	7.92	294406	3753906.250
07/19/2012	7.91	8.15	7.88	8.04	387154	5086709.500
07/20/2012	8.04	8.16	8.00	8.00	303015	3994695.750
07/23/2012	7.93	8.04	7.88	7.95	246381	3193538.250
07/24/2012	7.88	8.08	7.88	8.06	375828	4918591.000
07/25/2012	7.93	8.25	7.91	8.08	493537	6550258.500
07/26/2012	8.08	8.20	8.00	8.04	173839	2295354.500
07/27/2012	8.15	8.18	7.93	8.01	142569	1863002.125
07/30/2012	7.97	8.05	7.66	7.72	281837	3586252.000
07/31/2012	7.66	7.70	7.43	7.46	295925	3627573.750
08/01/2012	7.38	7.65	7.38	7.53	202508	2498742.500
08/02/2012	7.53	7.55	7.42	7.55	302280	3691215.000
08/03/2012	7.55	7.73	7.50	7.73	254296	3171045.500
08/06/2012	7.61	7.98	7.61	7.98	326018	4168546.500
08/07/2012	8.08	8.13	7.58	8.07	477739	6256239.500
08/08/2012	8.06	8.08	7.91	8.08	304089	3966174.250
08/09/2012	8.06	8.16	7.97	8.14	597398	7882828.500
08/10/2012	8.14	8.16	7.99	8.06	432769	5680821.000
08/13/2012	8.03	8.03	7.77	7.78	349200	4494420.500
08/14/2012	7.77	7.83	7.60	7.80	306797	3864815.000
08/15/2012	7.71	7.78	7.66	7.72	207539	2617470.750
08/16/2012	7.66	7.77	7.66	7.67	155209	1953044.875
08/17/2012	7.65	8.45	7.65	8.11	2527502	34022572.000
08/20/2012	8.11	8.11	7.77	8.00	1487866	19180292.000
08/21/2012	7.91	8.26	7.91	8.22	1320161	17492912.000
08/22/2012	8.15	8.26	8.08	8.15	858108	11401406.000
08/23/2012	8.16	8.42	8.15	8.35	855023	11508436.000
08/24/2012	8.32	8.32	8.03	8.05	646261	8583728.000
08/27/2012	7.97	7.97	7.73	7.80	769236	9787441.000
08/28/2012	7.73	7.95	7.70	7.90	379564	4868113.000
08/29/2012	7.80	8.60	7.80	8.23	2282554	30971134.000
08/30/2012	8.11	8.27	7.74	7.94	1294295	16853170.000
08/31/2012	7.91	8.05	7.88	8.02	678601	8809909.000
09/03/2012	7.88	8.19	7.88	8.15	835262	11004536.000
09/04/2012	8.18	8.38	8.04	8.17	1040321	13966195.000
09/05/2012	8.10	8.46	8.10	8.36	1177888	16000062.000
09/06/2012	8.37	8.52	8.31	8.52	1295989	17796816.000
09/07/2012	8.64	8.86	8.52	8.75	1983880	28022532.000
09/10/2012	8.68	8.75	8.60	8.68	1318798	18603702.000
09/11/2012	8.63	8.70	8.50	8.58	1019725	14301824.000
09/12/2012	8.65	8.65	8.41	8.57	786110	10927814.000
09/13/2012	8.60	8.64	8.41	8.41	630212	8773649.000
09/14/2012	8.44	8.61	8.36	8.49	769453	10635581.000
09/17/2012	8.49	8.49	8.11	8.11	559275	7538230.500
09/18/2012	8.10	8.18	8.02	8.12	272420	3603841.000
09/19/2012	8.21	8.24	8.12	8.19	190924	2543440.750
09/20/2012	8.13	8.16	7.85	7.86	390023	5068566.000
09/21/2012	7.79	7.91	7.53	7.56	313380	3951284.000
09/24/2012	7.56	7.69	7.43	7.63	261972	3226355.500
09/25/2012	7.64	7.68	7.50	7.55	183467	2274628.250
09/26/2012	7.51	7.56	7.24	7.25	415093	4983910.500
09/27/2012	7.23	7.53	7.17	7.46	318224	3832457.750
09/28/2012	7.38	7.57	7.38	7.51	622132	7595866.000
10/08/2012	7.53	7.53	7.38	7.45	247890	3014165.000
10/09/2012	7.48	7.77	7.45	7.75	580884	7267580.000
10/10/2012	7.67	7.80	7.66	7.78	568195	7179040.000
10/11/2012	7.78	7.78	7.49	7.49	592343	7384788.500
10/12/2012	7.64	7.64	7.48	7.53	558987	6893147.000
10/15/2012	7.55	7.55	7.23	7.32	464398	5557349.000
10/16/2012	7.31	7.50	7.28	7.43	325376	3940489.250
10/17/2012	7.44	7.49	7.41	7.48	257111	3131244.750
10/18/2012	7.53	7.64	7.43	7.59	287454	3554382.500
10/19/2012	7.59	7.68	7.57	7.62	330176	4104153.000
10/22/2012	7.48	7.66	7.48	7.63	223691	2772559.250
10/23/2012	7.62	7.75	7.58	7.61	281870	3527756.750
10/24/2012	7.54	7.72	7.48	7.60	200531	2487110.500
10/25/2012	7.58	7.68	7.55	7.58	254252	3156690.750
10/26/2012	7.49	7.64	7.29	7.30	514698	6228996.000
10/29/2012	7.28	7.51	7.25	7.33	398084	4768556.500
10/30/2012	7.29	7.35	7.22	7.27	351234	4172944.750
10/31/2012	7.27	7.27	7.15	7.20	309800	3645603.000
11/01/2012	7.21	7.37	7.21	7.35	516902	6184722.500
