300270 中威电子 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/12/2011	13.18	15.01	12.85	14.71	7092513	296365120.000
10/13/2011	14.18	15.98	14.05	15.15	4921994	217753024.000
10/14/2011	14.68	15.71	14.54	15.03	3147125	144061920.000
10/17/2011	14.88	16.00	14.88	15.42	3171244	148835408.000
10/18/2011	15.15	15.84	14.95	15.47	2568578	119850688.000
10/19/2011	15.41	16.40	14.55	14.62	2957385	138078944.000
10/20/2011	14.36	14.47	13.65	13.98	1922377	82344176.000
10/21/2011	14.01	14.25	13.32	13.51	1371443	57469972.000
10/24/2011	13.60	13.67	12.68	13.55	1568739	63069920.000
10/25/2011	13.45	14.71	13.28	14.41	2071010	88410896.000
10/26/2011	14.30	14.60	14.04	14.44	1771190	76995312.000
10/27/2011	14.45	14.91	14.26	14.68	1654972	73213976.000
10/28/2011	14.71	14.80	14.35	14.63	1462840	64680664.000
10/31/2011	14.64	15.11	14.25	14.74	1384666	61493244.000
11/01/2011	14.61	14.90	14.36	14.89	1311737	58230028.000
11/02/2011	14.71	15.61	14.53	15.37	1719655	78880144.000
11/03/2011	15.47	15.86	14.85	14.85	1862245	86614464.000
11/04/2011	15.07	16.11	14.81	15.70	2014232	94753272.000
11/07/2011	15.51	15.94	15.12	15.17	1188218	55605948.000
11/08/2011	15.21	15.32	14.62	14.68	997932	45296996.000
11/09/2011	14.72	15.01	14.43	14.97	1071260	47826324.000
11/10/2011	14.71	15.11	14.71	14.77	1079832	48822256.000
11/11/2011	14.81	14.88	14.35	14.43	762062	33729156.000
11/14/2011	14.56	15.28	14.56	15.10	1045448	47412836.000
11/15/2011	15.14	16.38	15.03	15.88	1828122	87218168.000
11/16/2011	16.04	16.15	15.48	15.63	1326556	63410660.000
11/17/2011	15.58	17.21	15.58	17.21	1382608	70232888.000
11/18/2011	17.68	18.68	17.56	18.31	2817406	153647056.000
11/21/2011	18.10	18.94	17.68	18.74	2136925	117920968.000
11/22/2011	18.61	18.65	17.71	18.11	1649736	90975888.000
11/23/2011	18.19	19.47	17.85	17.85	2267310	128002672.000
11/24/2011	17.52	18.28	17.39	18.01	1178044	63578492.000
11/25/2011	17.51	18.11	17.41	17.54	1179004	63130848.000
11/28/2011	17.38	18.01	17.18	17.84	1036462	55374372.000
11/29/2011	17.96	18.74	17.96	18.34	1302973	72347080.000
11/30/2011	18.20	18.33	16.49	16.67	1700456	88529584.000
12/01/2011	17.25	17.66	16.68	16.71	1517974	78642296.000
12/02/2011	16.45	17.14	16.22	16.89	678287	34493244.000
12/05/2011	16.85	16.89	15.67	15.74	848509	41612516.000
12/06/2011	15.58	16.31	15.53	16.14	666317	32235420.000
12/07/2011	16.08	16.21	15.53	16.10	836047	40274656.000
12/08/2011	16.05	17.05	15.60	16.58	1008729	50315628.000
12/09/2011	16.31	16.89	16.25	16.66	566133	28417074.000
12/12/2011	16.78	17.14	16.69	16.89	674476	34527604.000
12/13/2011	16.73	16.96	16.11	16.48	612939	30611940.000
12/14/2011	16.45	16.64	15.69	15.85	532302	26063404.000
12/15/2011	15.75	16.14	15.58	15.78	443427	21356992.000
12/16/2011	15.85	15.85	14.91	15.71	1012492	47033164.000
12/19/2011	15.42	15.65	14.98	15.61	860766	39850864.000
12/20/2011	15.49	16.01	15.17	15.17	706098	33371634.000
12/21/2011	15.32	15.42	14.40	14.40	1091760	49055868.000
12/22/2011	14.19	14.29	13.71	13.98	713771	30200326.000
12/23/2011	13.99	14.54	13.91	14.31	736508	31858740.000
12/26/2011	14.12	14.60	14.08	14.32	538539	23499084.000
12/27/2011	14.31	14.31	13.35	13.51	624694	26128344.000
12/28/2011	13.35	13.40	12.97	13.31	371612	14841731.000
12/29/2011	13.17	13.71	13.15	13.50	371653	15210467.000
12/30/2011	13.64	14.10	13.41	14.06	451060	18952466.000
01/04/2012	14.05	14.18	12.64	12.64	814231	33394252.000
01/05/2012	12.45	12.45	11.58	11.85	755834	27666122.000
01/06/2012	11.85	12.35	11.63	12.21	390323	14198641.000
01/09/2012	12.00	12.70	11.92	12.60	491288	18509312.000
01/10/2012	12.61	13.04	12.55	12.94	586433	22777332.000
01/11/2012	12.96	13.48	12.76	13.27	628429	25064630.000
01/12/2012	13.14	13.31	12.53	12.75	1030415	40215756.000
01/13/2012	12.57	12.82	11.46	11.58	1142890	41089372.000
01/16/2012	11.38	11.55	11.02	11.05	516076	17693984.000
01/17/2012	10.95	11.81	10.95	11.65	911278	31650982.000
01/18/2012	11.61	11.71	10.47	10.47	971315	32572340.000
01/19/2012	9.78	10.26	9.51	9.83	1548453	46193352.000
01/20/2012	9.85	10.08	9.61	9.75	1086017	32696956.000
01/30/2012	9.90	10.74	9.90	10.74	1662457	53042652.000
01/31/2012	10.79	10.79	10.36	10.68	1359577	43724152.000
02/01/2012	10.61	11.08	10.52	10.65	1469118	48371828.000
02/02/2012	10.53	10.99	10.51	10.91	920038	30063010.000
02/03/2012	10.91	11.41	10.91	11.12	1187887	40252020.000
02/06/2012	11.06	11.58	10.85	11.24	1074167	36564892.000
02/07/2012	11.18	11.18	10.77	10.86	709714	23624476.000
02/08/2012	10.85	11.38	10.74	11.24	903231	30388514.000
02/09/2012	11.31	11.61	11.15	11.43	1071749	37254840.000
02/10/2012	11.43	11.55	11.20	11.38	709607	24606478.000
02/13/2012	11.31	11.90	11.21	11.70	1077256	38148760.000
02/14/2012	11.68	11.87	11.61	11.71	749894	26719982.000
02/15/2012	11.71	11.86	11.58	11.84	849375	30314400.000
02/16/2012	11.78	11.95	11.48	11.55	1274262	45232924.000
