300271 华宇软件 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/26/2011	18.30	18.65	17.26	17.48	12206616	462521216.000
10/27/2011	18.11	18.23	17.29	17.50	6712299	253012176.000
10/28/2011	17.43	17.82	16.93	17.54	5595840	206759456.000
10/31/2011	17.50	18.54	17.41	18.40	6099225	233367872.000
11/01/2011	18.18	18.32	17.75	18.00	5029747	192515536.000
11/02/2011	17.40	18.99	17.18	18.65	6355621	243223712.000
11/03/2011	18.63	19.10	17.90	17.91	5947236	232838496.000
11/04/2011	18.10	19.79	17.95	18.90	5865439	234805184.000
11/07/2011	18.52	18.83	18.15	18.26	2936656	114537160.000
11/08/2011	18.40	18.58	17.91	18.05	2437244	93976960.000
11/09/2011	18.09	18.90	18.06	18.68	2809149	109991888.000
11/10/2011	18.41	18.95	18.18	18.33	3407056	133866968.000
11/11/2011	18.49	18.49	17.55	17.65	2762707	105074992.000
11/14/2011	17.85	18.27	17.70	18.10	2171250	83138712.000
11/15/2011	18.04	18.57	17.96	18.20	2219876	86289096.000
11/16/2011	18.20	18.55	17.70	17.75	2251491	86608712.000
11/17/2011	17.85	19.39	17.79	18.69	4037013	159337744.000
11/18/2011	18.45	19.84	18.40	19.11	4765858	193356848.000
11/21/2011	19.28	19.30	18.56	19.29	2808032	112272312.000
11/22/2011	18.95	19.19	18.60	19.11	2038495	81480096.000
11/23/2011	19.15	19.68	18.70	18.70	2444514	99649032.000
11/24/2011	18.40	18.59	17.91	18.41	2034654	78652040.000
11/25/2011	18.30	18.54	17.81	17.92	1675640	64423516.000
11/28/2011	17.85	18.05	17.46	17.69	1503992	56436512.000
11/29/2011	17.85	18.03	17.44	17.98	1465868	55228480.000
11/30/2011	17.86	18.52	16.07	16.33	2022774	73170304.000
12/01/2011	17.00	17.20	16.57	16.58	2062713	74364240.000
12/02/2011	16.42	16.62	16.15	16.41	911218	31859228.000
12/05/2011	16.40	16.40	15.47	15.51	1020968	34803920.000
12/06/2011	15.48	16.05	15.48	15.89	828176	27920184.000
12/07/2011	15.97	16.12	15.66	16.11	650740	22205408.000
12/08/2011	16.08	16.50	15.69	16.33	953420	32907352.000
12/09/2011	16.08	16.75	16.08	16.20	631984	22107876.000
12/12/2011	16.24	16.53	16.11	16.28	408943	14253711.000
12/13/2011	16.03	16.50	15.71	16.31	671928	23023938.000
12/14/2011	16.11	16.65	15.95	16.29	664026	23222514.000
12/15/2011	16.20	16.70	16.10	16.40	1023289	35973220.000
12/16/2011	16.36	16.70	15.73	16.65	1243637	43015080.000
12/19/2011	16.40	16.73	15.90	16.65	912173	31903450.000
12/20/2011	16.45	16.79	16.41	16.46	1050954	37223536.000
12/21/2011	16.62	16.64	15.99	15.99	743570	25788720.000
12/22/2011	15.73	15.86	14.66	15.05	1481641	48025540.000
12/23/2011	15.05	15.24	14.68	14.83	835282	26846844.000
12/26/2011	14.65	15.00	14.52	14.53	460555	14606901.000
12/27/2011	14.53	14.53	13.30	13.45	741066	22184074.000
12/28/2011	13.15	13.33	12.79	13.20	582497	16434095.000
12/29/2011	13.18	13.65	13.05	13.39	412459	11915680.000
12/30/2011	13.40	14.00	13.40	13.90	549970	16371931.000
01/04/2012	14.08	14.25	13.40	13.40	619972	18664874.000
01/06/2012	12.54	13.35	12.33	13.23	684151	18849482.000
01/09/2012	12.99	13.75	12.78	13.68	443224	12835327.000
01/10/2012	13.58	14.18	13.58	14.04	592587	17770428.000
01/11/2012	13.91	14.54	13.75	14.30	550424	16950878.000
01/12/2012	14.10	14.30	13.63	13.75	621778	18645268.000
01/13/2012	13.66	13.73	12.66	12.76	462581	13147433.000
01/16/2012	12.43	12.72	12.05	12.05	326723	8839317.000
01/17/2012	12.11	12.84	12.03	12.83	571328	15432004.000
01/18/2012	12.80	12.99	11.75	11.75	469256	12658042.000
01/30/2012	13.03	13.03	13.03	13.03	37493	1059552.125
